fecha,tipo_transporte,num_usuarios,tiempo_viaje_promedio_min,ruta_popular
2019-02-15,Metro,1410,59,Nimble Peak - ProLiant Village
2019-02-16,Metro,2857,19,ProLiant Village - Alletra City
2019-02-17,Autobús,1032,26,Composable Cloud - Nimble Peak
2019-02-18,Coche Compartido,3666,37,GreenLake Shores - Simplivity Springs
2019-02-19,Taxi,2699,13,Aruba Central - HPE Innovation Hub
2019-02-20,Tranvía,3258,42,Composable Cloud - Ezmeral Valley
2019-02-21,Bicicleta,4688,39,Composable Cloud - HPE Innovation Hub
2019-02-22,Autobús,2452,11,ProLiant Village - Apollo Heights
2019-02-23,Coche Compartido,1575,18,GreenLake Shores - Simplivity Springs
2019-02-24,Bicicleta,1947,35,Apollo Heights - Aruba Central
2019-02-25,Tranvía,1786,47,Composable Cloud - HPE Innovation Hub
2019-02-26,Metro,1457,17,HPE Innovation Hub - Alletra City
2019-02-27,Metro,1893,25,Aruba Central - Simplivity Springs
2019-02-28,Tranvía,2173,38,Alletra City - GreenLake Shores
2019-03-01,Tranvía,3826,21,GreenLake Shores - Nimble Peak
2019-03-02,Coche Compartido,2346,41,Nimble Peak - ProLiant Village
2019-03-03,Tranvía,3303,55,ProLiant Village - Apollo Heights
2019-03-04,Coche Compartido,5102,14,Apollo Heights - HPE Innovation Hub
2019-03-05,Metro,3613,44,GreenLake Shores - Aruba Central
2019-03-06,Bicicleta,1768,17,Alletra City - Aruba Central
2019-03-07,Autobús,1072,17,Ezmeral Valley - Composable Cloud
2019-03-08,Bicicleta,1361,19,Nimble Peak - ProLiant Village
2019-03-09,Autobús,751,33,Aruba Central - Composable Cloud
2019-03-10,Autobús,1609,43,Nimble Peak - Simplivity Springs
2019-03-11,Metro,2923,19,Ezmeral Valley - Nimble Peak
2019-03-12,Tranvía,3171,59,Nimble Peak - ProLiant Village
2019-03-13,Bicicleta,931,21,Nimble Peak - HPE Innovation Hub
2019-03-14,Autobús,2678,12,Aruba Central - Alletra City
2019-03-15,Metro,1773,17,Apollo Heights - Alletra City
2019-03-16,Bicicleta,1752,49,Alletra City - Composable Cloud
2019-03-17,Autobús,807,38,Aruba Central - HPE Innovation Hub
2019-03-18,Metro,1661,19,GreenLake Shores - Ezmeral Valley
2019-03-19,Autobús,3257,20,Apollo Heights - Ezmeral Valley
2019-03-20,Tranvía,3850,42,HPE Innovation Hub - Ezmeral Valley
2019-03-21,Tranvía,3356,32,Composable Cloud - HPE Innovation Hub
2019-03-22,Taxi,3540,28,Ezmeral Valley - ProLiant Village
2019-03-23,Metro,1677,52,GreenLake Shores - Alletra City
2019-03-24,Tranvía,877,52,Apollo Heights - Aruba Central
2019-03-25,Autobús,2904,24,Composable Cloud - Alletra City
2019-03-26,Coche Compartido,2579,55,Alletra City - Ezmeral Valley
2019-03-27,Autobús,3417,29,Simplivity Springs - Composable Cloud
2019-03-28,Metro,3729,22,GreenLake Shores - Aruba Central
2019-03-29,Coche Compartido,3496,29,Simplivity Springs - Apollo Heights
2019-03-30,Autobús,1427,12,Composable Cloud - ProLiant Village
2019-03-31,Autobús,1485,28,Composable Cloud - Nimble Peak
2019-04-01,Coche Compartido,575,20,Apollo Heights - Nimble Peak
2019-04-02,Taxi,3388,11,ProLiant Village - Nimble Peak
2019-04-03,Taxi,4094,52,Simplivity Springs - ProLiant Village
2019-04-04,Autobús,2860,51,GreenLake Shores - Alletra City
2019-04-05,Bicicleta,1843,55,Simplivity Springs - GreenLake Shores
2019-04-06,Taxi,953,56,Apollo Heights - GreenLake Shores
2019-04-07,Autobús,2633,32,Nimble Peak - HPE Innovation Hub
2019-04-08,Taxi,1953,26,ProLiant Village - Nimble Peak
2019-04-09,Autobús,1899,22,GreenLake Shores - Ezmeral Valley
2019-04-10,Coche Compartido,1944,49,Ezmeral Valley - Apollo Heights
2019-04-11,Autobús,3296,21,Composable Cloud - HPE Innovation Hub
2019-04-12,Tranvía,2154,54,Composable Cloud - Aruba Central
2019-04-13,Tranvía,2002,17,ProLiant Village - Nimble Peak
2019-04-14,Bicicleta,1677,43,Ezmeral Valley - Alletra City
2019-04-15,Bicicleta,2741,42,Composable Cloud - Ezmeral Valley
2019-04-16,Taxi,3265,40,ProLiant Village - Apollo Heights
2019-04-17,Bicicleta,2749,37,GreenLake Shores - ProLiant Village
2019-04-18,Taxi,2256,48,Alletra City - Ezmeral Valley
2019-04-19,Tranvía,3504,11,Nimble Peak - Ezmeral Valley
2019-04-20,Bicicleta,2447,24,Alletra City - Nimble Peak
2019-04-21,Autobús,1263,42,GreenLake Shores - Alletra City
2019-04-22,Taxi,1261,27,Apollo Heights - Alletra City
2019-04-23,Metro,930,11,Ezmeral Valley - Composable Cloud
2019-04-24,Coche Compartido,5224,46,Alletra City - Composable Cloud
2019-04-25,Tranvía,2513,27,Alletra City - HPE Innovation Hub
2019-04-26,Metro,4693,12,Ezmeral Valley - Nimble Peak
2019-04-27,Metro,3253,19,GreenLake Shores - ProLiant Village
2019-04-28,Metro,1464,19,Apollo Heights - HPE Innovation Hub
2019-04-29,Bicicleta,2218,48,Aruba Central - HPE Innovation Hub
2019-04-30,Coche Compartido,2701,37,Ezmeral Valley - Simplivity Springs
2019-05-01,Metro,2798,26,Aruba Central - HPE Innovation Hub
2019-05-02,Taxi,3296,34,Nimble Peak - Aruba Central
2019-05-03,Tranvía,2408,56,ProLiant Village - Apollo Heights
2019-05-04,Metro,2039,34,Simplivity Springs - Apollo Heights
2019-05-05,Tranvía,1888,33,Aruba Central - Apollo Heights
2019-05-06,Bicicleta,2357,39,GreenLake Shores - Composable Cloud
2019-05-07,Coche Compartido,4031,48,Apollo Heights - Composable Cloud
2019-05-08,Taxi,717,53,Aruba Central - Composable Cloud
2019-05-09,Bicicleta,1028,21,HPE Innovation Hub - Aruba Central
2019-05-10,Bicicleta,3271,14,Nimble Peak - Simplivity Springs
2019-05-11,Coche Compartido,1282,47,HPE Innovation Hub - Nimble Peak
2019-05-12,Taxi,1041,44,GreenLake Shores - Ezmeral Valley
2019-05-13,Bicicleta,1811,36,Aruba Central - Simplivity Springs
2019-05-14,Autobús,1246,11,Simplivity Springs - HPE Innovation Hub
2019-05-15,Bicicleta,2191,36,HPE Innovation Hub - Nimble Peak
2019-05-16,Autobús,3420,45,HPE Innovation Hub - Composable Cloud
2019-05-17,Metro,2465,59,Composable Cloud - Ezmeral Valley
2019-05-18,Metro,1135,26,ProLiant Village - Alletra City
2019-05-19,Tranvía,2344,24,Composable Cloud - Nimble Peak
2019-05-20,Tranvía,2841,32,Apollo Heights - ProLiant Village
2019-05-21,Metro,3706,28,Composable Cloud - Aruba Central
2019-05-22,Bicicleta,2543,21,Apollo Heights - GreenLake Shores
2019-05-23,Taxi,1871,45,Simplivity Springs - Alletra City
2019-05-24,Taxi,1427,56,Apollo Heights - Ezmeral Valley
2019-05-25,Coche Compartido,2432,59,Aruba Central - Simplivity Springs
2019-05-26,Autobús,1807,56,Composable Cloud - Ezmeral Valley
2019-05-27,Bicicleta,3172,27,Apollo Heights - GreenLake Shores
2019-05-28,Taxi,2143,47,Composable Cloud - GreenLake Shores
2019-05-29,Bicicleta,4658,46,Apollo Heights - Ezmeral Valley
2019-05-30,Tranvía,1984,29,HPE Innovation Hub - Alletra City
2019-05-31,Taxi,1223,36,Composable Cloud - ProLiant Village
2019-06-01,Autobús,2363,47,Alletra City - ProLiant Village
2019-06-02,Metro,517,58,GreenLake Shores - Simplivity Springs
2019-06-03,Bicicleta,5055,57,Ezmeral Valley - ProLiant Village
2019-06-04,Tranvía,2078,57,Nimble Peak - Aruba Central
2019-06-05,Coche Compartido,1355,52,Aruba Central - GreenLake Shores
2019-06-06,Bicicleta,4329,29,GreenLake Shores - Alletra City
2019-06-07,Taxi,1583,23,Apollo Heights - Ezmeral Valley
2019-06-08,Taxi,618,51,Simplivity Springs - HPE Innovation Hub
2019-06-09,Coche Compartido,1141,14,Simplivity Springs - Composable Cloud
2019-06-10,Autobús,2054,44,Alletra City - Nimble Peak
2019-06-11,Taxi,3541,24,Ezmeral Valley - HPE Innovation Hub
2019-06-12,Tranvía,1240,20,Nimble Peak - Ezmeral Valley
2019-06-13,Taxi,2608,33,HPE Innovation Hub - Apollo Heights
2019-06-14,Coche Compartido,3822,38,ProLiant Village - Composable Cloud
2019-06-15,Autobús,742,19,GreenLake Shores - Apollo Heights
2019-06-16,Autobús,1115,48,Nimble Peak - ProLiant Village
2019-06-17,Autobús,1254,23,Alletra City - Ezmeral Valley
2019-06-18,Tranvía,3032,39,GreenLake Shores - Apollo Heights
2019-06-19,Metro,2339,40,Apollo Heights - HPE Innovation Hub
2019-06-20,Coche Compartido,4003,19,GreenLake Shores - ProLiant Village
2019-06-21,Autobús,942,46,Simplivity Springs - Nimble Peak
2019-06-22,Bicicleta,1465,15,Nimble Peak - Simplivity Springs
2019-06-23,Tranvía,784,29,HPE Innovation Hub - GreenLake Shores
2019-06-24,Taxi,3485,60,Composable Cloud - Apollo Heights
2019-06-25,Coche Compartido,1132,47,Apollo Heights - Nimble Peak
2019-06-26,Bicicleta,1950,53,GreenLake Shores - ProLiant Village
2019-06-27,Autobús,2626,13,GreenLake Shores - ProLiant Village
2019-06-28,Tranvía,2283,37,Simplivity Springs - Composable Cloud
2019-06-29,Taxi,1557,10,Simplivity Springs - ProLiant Village
2019-06-30,Metro,1386,13,Nimble Peak - ProLiant Village
2019-07-01,Coche Compartido,3383,11,Simplivity Springs - Alletra City
2019-07-02,Tranvía,5388,49,Simplivity Springs - Nimble Peak
2019-07-03,Coche Compartido,1136,52,ProLiant Village - HPE Innovation Hub
2019-07-04,Bicicleta,2362,53,GreenLake Shores - Apollo Heights
2019-07-05,Taxi,1572,59,Composable Cloud - ProLiant Village
2019-07-06,Bicicleta,642,57,Ezmeral Valley - Composable Cloud
2019-07-07,Metro,1668,13,GreenLake Shores - HPE Innovation Hub
2019-07-08,Coche Compartido,2519,17,Nimble Peak - Alletra City
2019-07-09,Bicicleta,1194,31,Ezmeral Valley - ProLiant Village
2019-07-10,Tranvía,2566,26,Ezmeral Valley - Apollo Heights
2019-07-11,Coche Compartido,3948,34,Apollo Heights - GreenLake Shores
2019-07-12,Autobús,2434,35,Alletra City - Simplivity Springs
2019-07-13,Metro,1524,46,GreenLake Shores - Aruba Central
2019-07-14,Metro,1343,23,Simplivity Springs - Apollo Heights
2019-07-15,Taxi,868,32,HPE Innovation Hub - Nimble Peak
2019-07-16,Metro,2577,37,Simplivity Springs - HPE Innovation Hub
2019-07-17,Tranvía,1463,16,Ezmeral Valley - Alletra City
2019-07-18,Autobús,2086,48,HPE Innovation Hub - ProLiant Village
2019-07-19,Coche Compartido,1682,46,ProLiant Village - Nimble Peak
2019-07-20,Metro,1409,14,Alletra City - HPE Innovation Hub
2019-07-21,Tranvía,1039,20,Nimble Peak - Aruba Central
2019-07-22,Metro,924,44,ProLiant Village - Ezmeral Valley
2019-07-23,Autobús,4519,41,Nimble Peak - ProLiant Village
2019-07-24,Metro,791,51,Apollo Heights - Composable Cloud
2019-07-25,Coche Compartido,1852,33,Simplivity Springs - Ezmeral Valley
2019-07-26,Tranvía,4581,39,Alletra City - Aruba Central
2019-07-27,Metro,2239,47,GreenLake Shores - Apollo Heights
2019-07-28,Metro,1173,34,Nimble Peak - GreenLake Shores
2019-07-29,Bicicleta,5408,28,Ezmeral Valley - GreenLake Shores
2019-07-30,Bicicleta,2756,38,ProLiant Village - HPE Innovation Hub
2019-07-31,Autobús,916,37,HPE Innovation Hub - GreenLake Shores
2019-08-01,Metro,2671,37,Simplivity Springs - Aruba Central
2019-08-02,Metro,2881,10,HPE Innovation Hub - Composable Cloud
2019-08-03,Bicicleta,1570,23,Simplivity Springs - Composable Cloud
2019-08-04,Bicicleta,510,11,ProLiant Village - Aruba Central
2019-08-05,Coche Compartido,1778,22,Apollo Heights - GreenLake Shores
2019-08-06,Coche Compartido,2534,51,Simplivity Springs - GreenLake Shores
2019-08-07,Autobús,3570,53,ProLiant Village - Alletra City
2019-08-08,Coche Compartido,1318,11,GreenLake Shores - Ezmeral Valley
2019-08-09,Autobús,3884,40,ProLiant Village - HPE Innovation Hub
2019-08-10,Metro,1373,45,Simplivity Springs - Ezmeral Valley
2019-08-11,Coche Compartido,1868,33,ProLiant Village - Simplivity Springs
2019-08-12,Autobús,4581,16,HPE Innovation Hub - Simplivity Springs
2019-08-13,Tranvía,4077,37,Ezmeral Valley - HPE Innovation Hub
2019-08-14,Tranvía,1291,43,Alletra City - GreenLake Shores
2019-08-15,Tranvía,3929,11,Apollo Heights - HPE Innovation Hub
2019-08-16,Bicicleta,1875,13,Nimble Peak - Composable Cloud
2019-08-17,Taxi,873,30,Ezmeral Valley - Simplivity Springs
2019-08-18,Autobús,682,21,GreenLake Shores - HPE Innovation Hub
2019-08-19,Metro,3079,46,Alletra City - GreenLake Shores
2019-08-20,Bicicleta,960,20,Aruba Central - ProLiant Village
2019-08-21,Metro,3117,56,Apollo Heights - Ezmeral Valley
2019-08-22,Bicicleta,1963,38,Aruba Central - Ezmeral Valley
2019-08-23,Autobús,1855,38,Composable Cloud - HPE Innovation Hub
2019-08-24,Bicicleta,870,27,Apollo Heights - Aruba Central
2019-08-25,Taxi,2530,39,ProLiant Village - Ezmeral Valley
2019-08-26,Tranvía,3514,34,ProLiant Village - Aruba Central
2019-08-27,Coche Compartido,3827,52,Ezmeral Valley - Aruba Central
2019-08-28,Bicicleta,4572,17,Nimble Peak - Composable Cloud
2019-08-29,Taxi,1506,51,Simplivity Springs - Apollo Heights
2019-08-30,Tranvía,2954,22,Simplivity Springs - HPE Innovation Hub
2019-08-31,Taxi,2190,37,ProLiant Village - Nimble Peak
2019-09-01,Tranvía,2983,20,Alletra City - Simplivity Springs
2019-09-02,Coche Compartido,1136,26,GreenLake Shores - Simplivity Springs
2019-09-03,Autobús,3354,42,Composable Cloud - Apollo Heights
2019-09-04,Autobús,3723,40,Alletra City - Simplivity Springs
2019-09-05,Tranvía,1394,46,Alletra City - Aruba Central
2019-09-06,Tranvía,3173,33,Apollo Heights - Simplivity Springs
2019-09-07,Metro,1149,13,Alletra City - GreenLake Shores
2019-09-08,Taxi,2324,42,Ezmeral Valley - Alletra City
2019-09-09,Coche Compartido,3877,29,ProLiant Village - Apollo Heights
2019-09-10,Autobús,4365,21,Apollo Heights - ProLiant Village
2019-09-11,Bicicleta,2739,59,HPE Innovation Hub - Composable Cloud
2019-09-12,Taxi,4281,34,Ezmeral Valley - HPE Innovation Hub
2019-09-13,Coche Compartido,1606,18,Ezmeral Valley - Simplivity Springs
2019-09-14,Coche Compartido,741,48,Apollo Heights - Ezmeral Valley
2019-09-15,Tranvía,510,11,Composable Cloud - Simplivity Springs
2019-09-16,Autobús,1657,34,Alletra City - Apollo Heights
2019-09-17,Tranvía,1771,40,Simplivity Springs - GreenLake Shores
2019-09-18,Bicicleta,1527,25,Composable Cloud - ProLiant Village
2019-09-19,Bicicleta,2200,13,GreenLake Shores - Alletra City
2019-09-20,Autobús,889,24,GreenLake Shores - Aruba Central
2019-09-21,Tranvía,2049,21,Simplivity Springs - Ezmeral Valley
2019-09-22,Coche Compartido,644,57,Composable Cloud - Nimble Peak
2019-09-23,Bicicleta,3571,41,Simplivity Springs - ProLiant Village
2019-09-24,Bicicleta,1923,23,ProLiant Village - Ezmeral Valley
2019-09-25,Bicicleta,1158,29,Ezmeral Valley - Aruba Central
2019-09-26,Coche Compartido,5101,19,Aruba Central - ProLiant Village
2019-09-27,Bicicleta,4814,12,Composable Cloud - GreenLake Shores
2019-09-28,Metro,2062,48,GreenLake Shores - Composable Cloud
2019-09-29,Bicicleta,371,38,Alletra City - Nimble Peak
2019-09-30,Taxi,2790,26,Alletra City - HPE Innovation Hub
2019-10-01,Taxi,2642,29,Composable Cloud - Alletra City
2019-10-02,Coche Compartido,1863,22,ProLiant Village - GreenLake Shores
2019-10-03,Autobús,4950,53,ProLiant Village - HPE Innovation Hub
2019-10-04,Metro,3052,10,Composable Cloud - Ezmeral Valley
2019-10-05,Coche Compartido,1335,23,Apollo Heights - Composable Cloud
2019-10-06,Bicicleta,2043,36,Aruba Central - GreenLake Shores
2019-10-07,Bicicleta,2375,54,Composable Cloud - GreenLake Shores
2019-10-08,Autobús,1388,52,GreenLake Shores - Nimble Peak
2019-10-09,Taxi,1684,49,HPE Innovation Hub - ProLiant Village
2019-10-10,Taxi,3668,43,Aruba Central - Simplivity Springs
2019-10-11,Autobús,1609,13,Alletra City - GreenLake Shores
2019-10-12,Bicicleta,872,26,Ezmeral Valley - GreenLake Shores
2019-10-13,Coche Compartido,424,49,HPE Innovation Hub - Ezmeral Valley
2019-10-14,Tranvía,1493,48,ProLiant Village - Aruba Central
2019-10-15,Autobús,1427,34,Apollo Heights - Nimble Peak
2019-10-16,Taxi,3952,53,Apollo Heights - Nimble Peak
2019-10-17,Bicicleta,2157,13,Simplivity Springs - Aruba Central
2019-10-18,Taxi,4250,50,Aruba Central - Apollo Heights
2019-10-19,Metro,722,22,Nimble Peak - Alletra City
2019-10-20,Coche Compartido,1584,16,Nimble Peak - Alletra City
2019-10-21,Taxi,2360,53,Aruba Central - Simplivity Springs
2019-10-22,Tranvía,3813,41,GreenLake Shores - HPE Innovation Hub
2019-10-23,Bicicleta,2772,41,Composable Cloud - Ezmeral Valley
2019-10-24,Bicicleta,1607,33,HPE Innovation Hub - Simplivity Springs
2019-10-25,Bicicleta,3403,12,Apollo Heights - Aruba Central
2019-10-26,Bicicleta,2875,19,Alletra City - Apollo Heights
2019-10-27,Taxi,2055,13,Aruba Central - ProLiant Village
2019-10-28,Metro,1590,14,Ezmeral Valley - Apollo Heights
2019-10-29,Autobús,3305,47,ProLiant Village - GreenLake Shores
2019-10-30,Bicicleta,1188,46,GreenLake Shores - HPE Innovation Hub
2019-10-31,Bicicleta,1914,43,Aruba Central - GreenLake Shores
2019-11-01,Autobús,1931,51,Apollo Heights - Ezmeral Valley
2019-11-02,Coche Compartido,1484,40,Aruba Central - Composable Cloud
2019-11-03,Bicicleta,1726,40,Nimble Peak - ProLiant Village
2019-11-04,Taxi,1874,19,HPE Innovation Hub - Composable Cloud
2019-11-05,Metro,4306,26,Ezmeral Valley - Apollo Heights
2019-11-06,Bicicleta,1338,14,Alletra City - Nimble Peak
2019-11-07,Bicicleta,3888,50,Ezmeral Valley - Simplivity Springs
2019-11-08,Metro,2097,44,Alletra City - Apollo Heights
2019-11-09,Autobús,948,34,GreenLake Shores - Aruba Central
2019-11-10,Bicicleta,3299,51,Simplivity Springs - Alletra City
2019-11-11,Autobús,1147,15,ProLiant Village - Nimble Peak
2019-11-12,Autobús,4846,45,Aruba Central - ProLiant Village
2019-11-13,Metro,1386,23,Composable Cloud - Alletra City
2019-11-14,Coche Compartido,1219,37,HPE Innovation Hub - Alletra City
2019-11-15,Metro,2623,27,GreenLake Shores - Aruba Central
2019-11-16,Coche Compartido,929,27,GreenLake Shores - Nimble Peak
2019-11-17,Autobús,2204,47,Ezmeral Valley - Nimble Peak
2019-11-18,Metro,1967,19,Alletra City - Ezmeral Valley
2019-11-19,Bicicleta,4625,29,ProLiant Village - GreenLake Shores
2019-11-20,Coche Compartido,4410,24,Simplivity Springs - Aruba Central
2019-11-21,Metro,1759,60,GreenLake Shores - Apollo Heights
2019-11-22,Bicicleta,4395,17,Simplivity Springs - ProLiant Village
2019-11-23,Tranvía,2164,30,Composable Cloud - Aruba Central
2019-11-24,Coche Compartido,586,21,Simplivity Springs - HPE Innovation Hub
2019-11-25,Metro,2516,18,ProLiant Village - Ezmeral Valley
2019-11-26,Tranvía,2497,19,HPE Innovation Hub - Nimble Peak
2019-11-27,Metro,3000,33,Simplivity Springs - Nimble Peak
2019-11-28,Bicicleta,1153,58,Aruba Central - Ezmeral Valley
2019-11-29,Taxi,2361,26,Nimble Peak - Apollo Heights
2019-11-30,Coche Compartido,1347,56,Simplivity Springs - ProLiant Village
2019-12-01,Taxi,296,45,Composable Cloud - Aruba Central
2019-12-02,Bicicleta,2145,31,Alletra City - ProLiant Village
2019-12-03,Metro,3423,40,Aruba Central - GreenLake Shores
2019-12-04,Autobús,1095,40,Alletra City - ProLiant Village
2019-12-05,Taxi,4280,19,Simplivity Springs - Alletra City
2019-12-06,Metro,1562,41,Aruba Central - Nimble Peak
2019-12-07,Coche Compartido,803,30,GreenLake Shores - Ezmeral Valley
2019-12-08,Autobús,804,14,Alletra City - Composable Cloud
2019-12-09,Tranvía,2312,37,Aruba Central - Simplivity Springs
2019-12-10,Bicicleta,2714,17,GreenLake Shores - Apollo Heights
2019-12-11,Autobús,4451,40,GreenLake Shores - HPE Innovation Hub
2019-12-12,Bicicleta,2487,19,HPE Innovation Hub - ProLiant Village
2019-12-13,Autobús,3641,34,Apollo Heights - Aruba Central
2019-12-14,Autobús,2322,29,Ezmeral Valley - Aruba Central
2019-12-15,Tranvía,3083,25,Ezmeral Valley - ProLiant Village
2019-12-16,Autobús,2895,56,Composable Cloud - ProLiant Village
2019-12-17,Metro,3217,45,Simplivity Springs - HPE Innovation Hub
2019-12-18,Metro,1741,24,Nimble Peak - Simplivity Springs
2019-12-19,Taxi,5254,49,Composable Cloud - Nimble Peak
2019-12-20,Metro,2242,40,Composable Cloud - GreenLake Shores
2019-12-21,Bicicleta,1630,36,Composable Cloud - HPE Innovation Hub
2019-12-22,Coche Compartido,887,13,Simplivity Springs - Apollo Heights
2019-12-23,Tranvía,1662,48,GreenLake Shores - Composable Cloud
2019-12-24,Bicicleta,1706,23,Apollo Heights - Ezmeral Valley
2019-12-25,Autobús,2277,38,Alletra City - Ezmeral Valley
2019-12-26,Coche Compartido,1304,37,Apollo Heights - HPE Innovation Hub
2019-12-27,Tranvía,2134,43,Composable Cloud - Nimble Peak
2019-12-28,Autobús,1046,53,Simplivity Springs - HPE Innovation Hub
2019-12-29,Tranvía,1410,43,ProLiant Village - Composable Cloud
2019-12-30,Taxi,2801,30,Nimble Peak - Composable Cloud
2019-12-31,Tranvía,3198,24,Composable Cloud - GreenLake Shores
2020-01-01,Autobús,2404,54,Nimble Peak - ProLiant Village
2020-01-02,Autobús,1323,57,Simplivity Springs - Nimble Peak
2020-01-03,Tranvía,1054,13,GreenLake Shores - Composable Cloud
2020-01-04,Coche Compartido,1581,34,Nimble Peak - HPE Innovation Hub
2020-01-05,Coche Compartido,2602,10,Simplivity Springs - GreenLake Shores
2020-01-06,Taxi,1644,38,Ezmeral Valley - GreenLake Shores
2020-01-07,Tranvía,2446,17,HPE Innovation Hub - Apollo Heights
2020-01-08,Tranvía,4068,57,Aruba Central - GreenLake Shores
2020-01-09,Metro,4111,31,Composable Cloud - Simplivity Springs
2020-01-10,Autobús,887,48,Composable Cloud - Nimble Peak
2020-01-11,Metro,2507,11,Aruba Central - Alletra City
2020-01-12,Coche Compartido,574,17,GreenLake Shores - Simplivity Springs
2020-01-13,Bicicleta,2315,21,Composable Cloud - Nimble Peak
2020-01-14,Taxi,3440,19,HPE Innovation Hub - Aruba Central
2020-01-15,Taxi,3157,24,Nimble Peak - HPE Innovation Hub
2020-01-16,Coche Compartido,4174,28,Nimble Peak - Simplivity Springs
2020-01-17,Metro,1451,46,ProLiant Village - Simplivity Springs
2020-01-18,Metro,949,55,Alletra City - Apollo Heights
2020-01-19,Metro,1748,26,GreenLake Shores - Aruba Central
2020-01-20,Taxi,2991,40,Ezmeral Valley - Nimble Peak
2020-01-21,Taxi,584,22,HPE Innovation Hub - Simplivity Springs
2020-01-22,Bicicleta,1179,44,Simplivity Springs - HPE Innovation Hub
2020-01-23,Taxi,2273,13,GreenLake Shores - ProLiant Village
2020-01-24,Taxi,3186,25,Nimble Peak - Apollo Heights
2020-01-25,Coche Compartido,676,59,Nimble Peak - Simplivity Springs
2020-01-26,Taxi,2638,20,HPE Innovation Hub - Aruba Central
2020-01-27,Tranvía,3306,36,Ezmeral Valley - Simplivity Springs
2020-01-28,Coche Compartido,1224,52,Aruba Central - Alletra City
2020-01-29,Bicicleta,3992,20,GreenLake Shores - Nimble Peak
2020-01-30,Taxi,1237,24,GreenLake Shores - Alletra City
2020-01-31,Bicicleta,1290,35,Apollo Heights - Ezmeral Valley
2020-02-01,Metro,1736,56,Ezmeral Valley - Nimble Peak
2020-02-02,Tranvía,1744,54,Simplivity Springs - Apollo Heights
2020-02-03,Metro,1751,41,GreenLake Shores - Alletra City
2020-02-04,Autobús,1381,44,Composable Cloud - GreenLake Shores
2020-02-05,Tranvía,3073,22,Nimble Peak - ProLiant Village
2020-02-06,Bicicleta,2385,21,Composable Cloud - Nimble Peak
