hotel_nombre,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
GreenLake Digital Business Suites,2019-01-02,52,241,32,155.73
Apollo Resort & Spa,2019-01-02,36,81,12,121.18
Nimble Inn,2019-01-02,54,146,17,180.88
Ezmeral Grand Hotel,2019-01-02,44,192,12,113.5
Alletra Boutique Hotel,2019-01-02,52,141,21,140.38
Simplivity Golden Plaza Hotel,2019-01-02,47,168,19,167.12
Cray Villas,2019-01-02,40,122,14,114.53
Apollo Diamond Suites,2019-01-02,37,87,6,95.85
Apollo Towers,2019-01-02,47,228,35,115.0
Alletra Diamond Grand Hotel,2019-01-03,53,182,28,206.52
ProLiant Towers,2019-01-03,46,174,34,172.6
Aruba Luxury Lodge,2019-01-03,39,104,7,90.1
InfoSight Boutique Hotel,2019-01-03,47,111,6,102.13
Primera Grand,2019-01-03,39,159,10,156.74
dHCI Executive Boutique Hotel,2019-01-03,45,103,5,120.59
ProLiant Haven,2019-01-03,45,149,11,99.62
Apollo Executive Beach Resort,2019-01-03,60,275,18,117.84
Aruba Lodge,2019-01-03,45,100,14,99.82
Alletra Haven,2019-01-03,34,150,28,89.79
dHCI Platinum Beach Resort,2019-01-03,37,87,14,131.87
GreenLake Platinum Heritage Inn,2019-01-03,55,212,35,146.84
Pointnext Signature Residences & Suites,2019-01-03,59,196,35,225.82
ProLiant Place,2019-01-03,39,144,8,163.89
Synergy Golden Grand Hotel,2019-01-03,33,159,12,96.93
Alletra Resort,2019-01-03,51,114,9,157.3
GreenLake Digital Business Suites,2019-01-03,35,70,8,126.57
Apollo Resort & Spa,2019-01-03,39,81,7,111.05
Nimble Inn,2019-01-03,57,191,29,212.33
Ezmeral Grand Hotel,2019-01-03,55,240,33,193.43
Alletra Boutique Hotel,2019-01-03,36,117,15,132.63
Simplivity Golden Plaza Hotel,2019-01-03,59,165,11,116.04
Cray Villas,2019-01-03,55,160,25,167.61
Apollo Diamond Suites,2019-01-03,39,129,15,112.72
Apollo Towers,2019-01-03,42,202,25,133.48
Alletra Diamond Grand Hotel,2019-01-04,32,121,22,129.01
ProLiant Towers,2019-01-04,49,134,8,193.27
Aruba Luxury Lodge,2019-01-04,56,256,35,108.32
InfoSight Boutique Hotel,2019-01-04,54,216,19,108.35
Primera Grand,2019-01-04,54,136,17,151.76
dHCI Executive Boutique Hotel,2019-01-04,38,96,13,136.24
ProLiant Haven,2019-01-04,45,220,26,131.75
Apollo Executive Beach Resort,2019-01-04,40,160,28,116.38
Aruba Lodge,2019-01-04,52,181,27,143.65
Alletra Haven,2019-01-04,54,197,23,137.97
dHCI Platinum Beach Resort,2019-01-04,40,93,15,159.19
GreenLake Platinum Heritage Inn,2019-01-04,56,278,41,166.77
Pointnext Signature Residences & Suites,2019-01-04,43,92,11,146.55
ProLiant Place,2019-01-04,45,174,28,113.32
Synergy Golden Grand Hotel,2019-01-04,47,112,10,179.8
Alletra Resort,2019-01-04,45,106,20,149.8
GreenLake Digital Business Suites,2019-01-04,37,152,14,88.01
Apollo Resort & Spa,2019-01-04,43,98,19,171.51
Nimble Inn,2019-01-04,44,213,31,107.55
Ezmeral Grand Hotel,2019-01-04,59,244,30,141.26
Alletra Boutique Hotel,2019-01-04,56,193,23,157.16
Simplivity Golden Plaza Hotel,2019-01-04,34,107,20,118.56
Cray Villas,2019-01-04,58,139,8,197.63
Apollo Diamond Suites,2019-01-04,57,184,34,164.88
Apollo Towers,2019-01-04,56,112,17,199.8
Alletra Diamond Grand Hotel,2019-01-05,63,218,15,180.86
ProLiant Towers,2019-01-05,51,186,24,147.45
Aruba Luxury Lodge,2019-01-05,48,237,20,134.77
InfoSight Boutique Hotel,2019-01-05,68,144,23,213.91
Primera Grand,2019-01-05,66,208,31,224.34
dHCI Executive Boutique Hotel,2019-01-05,46,225,15,184.81
ProLiant Haven,2019-01-05,46,212,24,144.39
Apollo Executive Beach Resort,2019-01-05,49,204,22,163.17
Aruba Lodge,2019-01-05,40,136,26,117.08
Alletra Haven,2019-01-05,63,248,44,220.4
dHCI Platinum Beach Resort,2019-01-05,70,219,21,220.62
GreenLake Platinum Heritage Inn,2019-01-05,66,304,16,125.03
Pointnext Signature Residences & Suites,2019-01-05,65,309,61,212.08
ProLiant Place,2019-01-05,49,209,32,108.85
Synergy Golden Grand Hotel,2019-01-05,44,207,11,164.06
Alletra Resort,2019-01-05,49,153,10,151.05
GreenLake Digital Business Suites,2019-01-05,63,275,20,122.95
Apollo Resort & Spa,2019-01-05,68,262,22,242.14
Nimble Inn,2019-01-05,42,142,12,113.45
Ezmeral Grand Hotel,2019-01-05,42,197,29,105.27
Alletra Boutique Hotel,2019-01-05,54,267,25,207.9
Simplivity Golden Plaza Hotel,2019-01-05,61,205,19,232.92
Cray Villas,2019-01-05,69,160,17,168.54
Apollo Diamond Suites,2019-01-05,48,99,17,136.0
Apollo Towers,2019-01-05,44,202,33,179.68
Alletra Diamond Grand Hotel,2019-01-06,73,309,54,254.83
ProLiant Towers,2019-01-06,62,236,24,190.94
Aruba Luxury Lodge,2019-01-06,58,233,36,184.47
InfoSight Boutique Hotel,2019-01-06,63,244,45,194.44
Primera Grand,2019-01-06,51,107,11,114.4
dHCI Executive Boutique Hotel,2019-01-06,68,202,22,145.31
ProLiant Haven,2019-01-06,68,314,32,186.24
Apollo Executive Beach Resort,2019-01-06,45,124,21,138.37
Aruba Lodge,2019-01-06,64,271,27,128.74
Alletra Haven,2019-01-06,66,159,31,229.54
dHCI Platinum Beach Resort,2019-01-06,68,335,65,227.42
GreenLake Platinum Heritage Inn,2019-01-06,47,205,10,147.44
Pointnext Signature Residences & Suites,2019-01-06,54,216,32,167.13
ProLiant Place,2019-01-06,71,342,22,154.2
Synergy Golden Grand Hotel,2019-01-06,44,204,27,174.54
Alletra Resort,2019-01-06,52,113,19,196.58
GreenLake Digital Business Suites,2019-01-06,54,174,12,206.2
Apollo Resort & Spa,2019-01-06,51,119,10,155.83
Nimble Inn,2019-01-06,54,168,32,179.22
Ezmeral Grand Hotel,2019-01-06,58,218,34,210.71
Alletra Boutique Hotel,2019-01-06,56,252,35,211.17
Simplivity Golden Plaza Hotel,2019-01-06,43,175,14,131.24
Cray Villas,2019-01-06,47,108,16,148.18
Apollo Diamond Suites,2019-01-06,60,130,11,226.18
Apollo Towers,2019-01-06,72,163,13,214.09
Alletra Diamond Grand Hotel,2019-01-07,30,64,6,139.33
ProLiant Towers,2019-01-07,55,203,12,189.17
Aruba Luxury Lodge,2019-01-07,36,135,23,102.78
InfoSight Boutique Hotel,2019-01-07,54,131,24,104.31
Primera Grand,2019-01-07,57,282,55,168.58
dHCI Executive Boutique Hotel,2019-01-07,55,138,20,107.84
ProLiant Haven,2019-01-07,30,92,15,115.33
Apollo Executive Beach Resort,2019-01-07,30,75,4,124.5
Aruba Lodge,2019-01-07,46,107,6,137.24
Alletra Haven,2019-01-07,41,145,9,132.31
dHCI Platinum Beach Resort,2019-01-07,60,230,36,219.05
GreenLake Platinum Heritage Inn,2019-01-07,51,181,21,199.33
Pointnext Signature Residences & Suites,2019-01-07,31,154,27,107.43
ProLiant Place,2019-01-07,33,114,21,87.85
Synergy Golden Grand Hotel,2019-01-07,32,94,6,90.08
Alletra Resort,2019-01-07,49,191,25,130.87
GreenLake Digital Business Suites,2019-01-07,49,175,20,158.33
Apollo Resort & Spa,2019-01-07,33,144,9,126.21
Nimble Inn,2019-01-07,58,249,39,132.94
Ezmeral Grand Hotel,2019-01-07,44,205,22,166.81
Alletra Boutique Hotel,2019-01-07,42,136,8,127.85
Simplivity Golden Plaza Hotel,2019-01-07,51,140,27,171.06
Cray Villas,2019-01-07,45,99,17,103.39
Apollo Diamond Suites,2019-01-07,33,139,14,91.59
Apollo Towers,2019-01-07,31,116,15,101.44
Alletra Diamond Grand Hotel,2019-01-08,33,106,19,145.11
ProLiant Towers,2019-01-08,43,197,31,176.28
Aruba Luxury Lodge,2019-01-08,49,143,9,148.73
InfoSight Boutique Hotel,2019-01-08,34,134,11,91.36
Primera Grand,2019-01-08,57,209,14,138.76
dHCI Executive Boutique Hotel,2019-01-08,37,163,28,159.12
ProLiant Haven,2019-01-08,56,216,32,168.35
Apollo Executive Beach Resort,2019-01-08,49,234,40,125.21
Aruba Lodge,2019-01-08,35,98,16,149.51
Alletra Haven,2019-01-08,41,82,14,137.44
dHCI Platinum Beach Resort,2019-01-08,42,92,14,173.63
GreenLake Platinum Heritage Inn,2019-01-08,32,135,11,108.87
Pointnext Signature Residences & Suites,2019-01-08,40,98,9,115.95
ProLiant Place,2019-01-08,60,222,13,116.31
Synergy Golden Grand Hotel,2019-01-08,35,149,8,90.71
Alletra Resort,2019-01-08,44,175,21,132.9
GreenLake Digital Business Suites,2019-01-08,38,100,12,114.23
Apollo Resort & Spa,2019-01-08,33,94,14,115.12
Nimble Inn,2019-01-08,51,149,12,201.41
Ezmeral Grand Hotel,2019-01-08,31,62,5,94.1
Alletra Boutique Hotel,2019-01-08,34,145,13,92.16
Simplivity Golden Plaza Hotel,2019-01-08,45,190,14,129.22
Cray Villas,2019-01-08,52,139,18,171.48
Apollo Diamond Suites,2019-01-08,41,90,16,94.47
Apollo Towers,2019-01-08,30,101,6,98.78
Alletra Diamond Grand Hotel,2019-01-09,43,159,24,128.92
ProLiant Towers,2019-01-09,33,106,20,94.34
Aruba Luxury Lodge,2019-01-09,60,231,40,220.37
InfoSight Boutique Hotel,2019-01-09,32,105,6,109.88
Primera Grand,2019-01-09,42,150,16,118.06
dHCI Executive Boutique Hotel,2019-01-09,40,106,17,96.11
ProLiant Haven,2019-01-09,50,117,14,190.59
Apollo Executive Beach Resort,2019-01-09,41,125,24,143.93
Aruba Lodge,2019-01-09,34,92,6,97.41
Alletra Haven,2019-01-09,49,120,19,106.38
dHCI Platinum Beach Resort,2019-01-09,60,259,32,200.53
GreenLake Platinum Heritage Inn,2019-01-09,54,201,30,199.26
Pointnext Signature Residences & Suites,2019-01-09,50,195,28,186.42
ProLiant Place,2019-01-09,50,147,17,146.89
Synergy Golden Grand Hotel,2019-01-09,50,145,13,105.62
Alletra Resort,2019-01-09,46,102,12,99.46
GreenLake Digital Business Suites,2019-01-09,41,184,11,161.87
Apollo Resort & Spa,2019-01-09,57,129,17,150.83
Nimble Inn,2019-01-09,48,175,29,184.0
Ezmeral Grand Hotel,2019-01-09,44,207,28,110.57
Alletra Boutique Hotel,2019-01-09,49,167,12,105.06
Simplivity Golden Plaza Hotel,2019-01-09,33,146,25,147.84
Cray Villas,2019-01-09,32,112,8,97.86
Apollo Diamond Suites,2019-01-09,44,218,28,147.66
Apollo Towers,2019-01-09,41,127,11,124.52
Alletra Diamond Grand Hotel,2019-01-10,40,161,9,140.47
ProLiant Towers,2019-01-10,40,87,5,144.27
Aruba Luxury Lodge,2019-01-10,39,107,19,164.22
InfoSight Boutique Hotel,2019-01-10,49,226,22,156.11
Primera Grand,2019-01-10,34,161,15,128.61
dHCI Executive Boutique Hotel,2019-01-10,51,161,22,196.68
ProLiant Haven,2019-01-10,39,143,20,114.62
Apollo Executive Beach Resort,2019-01-10,34,136,23,134.24
Aruba Lodge,2019-01-10,51,241,15,169.39
Alletra Haven,2019-01-10,46,141,14,112.58
dHCI Platinum Beach Resort,2019-01-10,36,108,17,99.82
GreenLake Platinum Heritage Inn,2019-01-10,34,83,7,137.59
Pointnext Signature Residences & Suites,2019-01-10,46,198,34,177.3
ProLiant Place,2019-01-10,31,123,22,119.32
Synergy Golden Grand Hotel,2019-01-10,49,153,11,180.47
Alletra Resort,2019-01-10,54,209,38,181.89
GreenLake Digital Business Suites,2019-01-10,31,100,15,95.73
Apollo Resort & Spa,2019-01-10,44,168,27,162.97
Nimble Inn,2019-01-10,37,133,12,146.84
Ezmeral Grand Hotel,2019-01-10,45,212,16,156.05
Alletra Boutique Hotel,2019-01-10,48,237,28,125.05
Simplivity Golden Plaza Hotel,2019-01-10,42,147,16,105.61
Cray Villas,2019-01-10,36,158,11,104.0
Apollo Diamond Suites,2019-01-10,50,172,18,193.43
Apollo Towers,2019-01-10,52,235,41,131.65
Alletra Diamond Grand Hotel,2019-01-11,54,133,15,159.44
ProLiant Towers,2019-01-11,56,185,35,130.87
Aruba Luxury Lodge,2019-01-11,44,204,38,130.51
InfoSight Boutique Hotel,2019-01-11,42,147,12,175.54
Primera Grand,2019-01-11,41,109,10,99.12
dHCI Executive Boutique Hotel,2019-01-11,52,205,34,116.31
ProLiant Haven,2019-01-11,39,185,22,153.83
Apollo Executive Beach Resort,2019-01-11,54,222,26,104.57
Aruba Lodge,2019-01-11,32,65,5,91.57
Alletra Haven,2019-01-11,60,250,32,123.34
dHCI Platinum Beach Resort,2019-01-11,39,105,7,107.6
GreenLake Platinum Heritage Inn,2019-01-11,50,219,25,111.09
Pointnext Signature Residences & Suites,2019-01-11,58,202,26,181.31
ProLiant Place,2019-01-11,48,130,9,139.21
Synergy Golden Grand Hotel,2019-01-11,49,149,20,117.36
Alletra Resort,2019-01-11,51,115,22,107.9
GreenLake Digital Business Suites,2019-01-11,46,167,28,142.7
Apollo Resort & Spa,2019-01-11,30,95,11,118.14
Nimble Inn,2019-01-11,41,113,5,155.66
Ezmeral Grand Hotel,2019-01-11,41,111,16,99.5
Alletra Boutique Hotel,2019-01-11,48,201,20,102.26
Simplivity Golden Plaza Hotel,2019-01-11,47,141,20,175.06
Cray Villas,2019-01-11,51,173,26,165.44
Apollo Diamond Suites,2019-01-11,55,132,20,208.8
Apollo Towers,2019-01-11,31,89,5,93.37
Alletra Diamond Grand Hotel,2019-01-12,41,196,24,172.11
ProLiant Towers,2019-01-12,59,162,26,131.55
Aruba Luxury Lodge,2019-01-12,46,211,21,107.45
InfoSight Boutique Hotel,2019-01-12,52,242,39,195.04
Primera Grand,2019-01-12,52,255,31,153.74
dHCI Executive Boutique Hotel,2019-01-12,72,201,12,183.13
ProLiant Haven,2019-01-12,57,284,21,140.49
Apollo Executive Beach Resort,2019-01-12,39,116,10,123.78
Aruba Lodge,2019-01-12,63,157,18,169.34
Alletra Haven,2019-01-12,63,242,27,193.57
dHCI Platinum Beach Resort,2019-01-12,60,133,19,153.6
GreenLake Platinum Heritage Inn,2019-01-12,70,173,9,238.81
Pointnext Signature Residences & Suites,2019-01-12,63,132,7,211.09
ProLiant Place,2019-01-12,51,160,21,162.72
Synergy Golden Grand Hotel,2019-01-12,63,305,32,209.15
Alletra Resort,2019-01-12,55,197,21,176.45
GreenLake Digital Business Suites,2019-01-12,43,89,6,137.53
Apollo Resort & Spa,2019-01-12,72,169,28,223.38
Nimble Inn,2019-01-12,50,142,26,149.12
Ezmeral Grand Hotel,2019-01-12,40,182,21,161.89
Alletra Boutique Hotel,2019-01-12,50,221,43,198.66
Simplivity Golden Plaza Hotel,2019-01-12,61,251,33,146.42
Cray Villas,2019-01-12,46,190,35,154.67
Apollo Diamond Suites,2019-01-12,65,229,15,141.13
Apollo Towers,2019-01-12,42,183,9,138.54
Alletra Diamond Grand Hotel,2019-01-13,53,233,30,167.87
ProLiant Towers,2019-01-13,38,111,22,142.63
Aruba Luxury Lodge,2019-01-13,57,245,42,115.41
InfoSight Boutique Hotel,2019-01-13,55,122,14,161.91
Primera Grand,2019-01-13,47,184,14,187.83
dHCI Executive Boutique Hotel,2019-01-13,56,264,15,119.91
ProLiant Haven,2019-01-13,43,107,10,154.0
Apollo Executive Beach Resort,2019-01-13,54,252,44,131.07
Aruba Lodge,2019-01-13,63,177,25,190.42
Alletra Haven,2019-01-13,45,176,24,147.26
dHCI Platinum Beach Resort,2019-01-13,50,193,35,133.76
GreenLake Platinum Heritage Inn,2019-01-13,73,155,27,134.86
Pointnext Signature Residences & Suites,2019-01-13,75,323,28,156.62
ProLiant Place,2019-01-13,59,227,12,213.9
Synergy Golden Grand Hotel,2019-01-13,56,219,20,133.43
Alletra Resort,2019-01-13,70,225,26,216.41
GreenLake Digital Business Suites,2019-01-13,47,152,18,128.98
Apollo Resort & Spa,2019-01-13,44,201,19,180.95
Nimble Inn,2019-01-13,52,124,13,160.41
Ezmeral Grand Hotel,2019-01-13,48,163,14,121.8
Alletra Boutique Hotel,2019-01-13,38,109,11,134.77
Simplivity Golden Plaza Hotel,2019-01-13,44,195,37,157.46
Cray Villas,2019-01-13,43,150,19,135.89
Apollo Diamond Suites,2019-01-13,51,105,20,152.56
Apollo Towers,2019-01-13,68,179,18,124.87
Alletra Diamond Grand Hotel,2019-01-14,45,170,29,155.53
ProLiant Towers,2019-01-14,39,140,24,122.61
Aruba Luxury Lodge,2019-01-14,58,162,16,154.78
InfoSight Boutique Hotel,2019-01-14,31,99,13,93.07
Primera Grand,2019-01-14,47,134,14,139.33
dHCI Executive Boutique Hotel,2019-01-14,47,133,26,160.96
ProLiant Haven,2019-01-14,33,78,5,107.63
Apollo Executive Beach Resort,2019-01-14,40,146,15,101.54
Aruba Lodge,2019-01-14,49,172,21,103.44
Alletra Haven,2019-01-14,34,140,23,119.31
dHCI Platinum Beach Resort,2019-01-14,34,129,16,106.3
GreenLake Platinum Heritage Inn,2019-01-14,49,144,15,159.42
Pointnext Signature Residences & Suites,2019-01-14,56,162,16,198.77
ProLiant Place,2019-01-14,47,163,21,141.64
Synergy Golden Grand Hotel,2019-01-14,30,93,14,138.79
Alletra Resort,2019-01-14,48,140,25,181.72
GreenLake Digital Business Suites,2019-01-14,50,103,12,196.71
Apollo Resort & Spa,2019-01-14,55,270,36,130.03
Nimble Inn,2019-01-14,31,116,8,120.0
Ezmeral Grand Hotel,2019-01-14,49,211,22,179.52
Alletra Boutique Hotel,2019-01-14,37,77,14,95.13
Simplivity Golden Plaza Hotel,2019-01-14,30,99,11,104.78
Cray Villas,2019-01-14,36,116,19,152.28
Apollo Diamond Suites,2019-01-14,57,259,41,187.46
Apollo Towers,2019-01-14,46,120,11,156.92
Alletra Diamond Grand Hotel,2019-01-15,46,144,27,138.29
ProLiant Towers,2019-01-15,47,142,14,169.57
Aruba Luxury Lodge,2019-01-15,53,214,36,131.02
InfoSight Boutique Hotel,2019-01-15,45,115,10,145.23
Primera Grand,2019-01-15,37,178,35,144.07
dHCI Executive Boutique Hotel,2019-01-15,52,136,21,134.97
ProLiant Haven,2019-01-15,41,150,28,150.18
Apollo Executive Beach Resort,2019-01-15,39,92,13,118.62
Aruba Lodge,2019-01-15,42,187,36,159.59
Alletra Haven,2019-01-15,39,82,15,95.16
dHCI Platinum Beach Resort,2019-01-15,59,196,17,165.53
GreenLake Platinum Heritage Inn,2019-01-15,36,161,14,126.47
Pointnext Signature Residences & Suites,2019-01-15,38,91,12,132.6
ProLiant Place,2019-01-15,37,79,14,103.7
Synergy Golden Grand Hotel,2019-01-15,37,79,8,140.08
Alletra Resort,2019-01-15,33,133,9,146.66
GreenLake Digital Business Suites,2019-01-15,59,145,21,212.92
Apollo Resort & Spa,2019-01-15,45,154,12,181.75
Nimble Inn,2019-01-15,40,114,6,151.5
Ezmeral Grand Hotel,2019-01-15,50,186,24,172.31
Alletra Boutique Hotel,2019-01-15,59,124,23,158.31
Simplivity Golden Plaza Hotel,2019-01-15,56,141,26,217.68
Cray Villas,2019-01-15,42,183,14,154.92
Apollo Diamond Suites,2019-01-15,57,272,49,108.06
Apollo Towers,2019-01-15,48,182,34,130.16
Alletra Diamond Grand Hotel,2019-01-16,44,218,28,137.46
ProLiant Towers,2019-01-16,60,144,18,142.74
Aruba Luxury Lodge,2019-01-16,55,128,9,155.48
InfoSight Boutique Hotel,2019-01-16,38,157,8,113.62
Primera Grand,2019-01-16,39,144,23,102.69
dHCI Executive Boutique Hotel,2019-01-16,57,223,24,155.76
ProLiant Haven,2019-01-16,40,90,13,104.78
Apollo Executive Beach Resort,2019-01-16,34,116,22,84.46
Aruba Lodge,2019-01-16,42,113,18,172.14
Alletra Haven,2019-01-16,39,146,19,109.4
dHCI Platinum Beach Resort,2019-01-16,41,167,9,100.69
GreenLake Platinum Heritage Inn,2019-01-16,39,96,14,161.0
Pointnext Signature Residences & Suites,2019-01-16,58,238,23,121.62
ProLiant Place,2019-01-16,59,284,29,135.06
Synergy Golden Grand Hotel,2019-01-16,60,144,10,199.73
Alletra Resort,2019-01-16,49,152,23,188.45
GreenLake Digital Business Suites,2019-01-16,54,195,29,127.59
Apollo Resort & Spa,2019-01-16,37,149,20,145.27
Nimble Inn,2019-01-16,46,153,23,103.19
Ezmeral Grand Hotel,2019-01-16,48,112,19,184.68
Alletra Boutique Hotel,2019-01-16,36,133,9,109.62
Simplivity Golden Plaza Hotel,2019-01-16,46,152,23,161.96
Cray Villas,2019-01-16,45,102,12,167.78
Apollo Diamond Suites,2019-01-16,44,105,11,143.62
Apollo Towers,2019-01-16,47,159,27,164.99
Alletra Diamond Grand Hotel,2019-01-17,42,116,5,110.3
ProLiant Towers,2019-01-17,32,68,6,86.08
Aruba Luxury Lodge,2019-01-17,31,148,8,138.89
InfoSight Boutique Hotel,2019-01-17,31,88,6,89.4
Primera Grand,2019-01-17,50,246,36,142.04
dHCI Executive Boutique Hotel,2019-01-17,58,182,32,213.19
ProLiant Haven,2019-01-17,42,94,18,165.46
Apollo Executive Beach Resort,2019-01-17,34,134,13,96.14
Aruba Lodge,2019-01-17,47,149,10,189.0
Alletra Haven,2019-01-17,56,112,5,139.42
dHCI Platinum Beach Resort,2019-01-17,51,212,24,139.69
GreenLake Platinum Heritage Inn,2019-01-17,37,101,10,107.4
Pointnext Signature Residences & Suites,2019-01-17,59,272,44,112.8
ProLiant Place,2019-01-17,51,166,27,191.14
Synergy Golden Grand Hotel,2019-01-17,30,81,4,115.64
Alletra Resort,2019-01-17,44,166,25,98.28
GreenLake Digital Business Suites,2019-01-17,53,113,13,160.21
Apollo Resort & Spa,2019-01-17,54,247,14,158.42
Nimble Inn,2019-01-17,39,105,19,133.94
Ezmeral Grand Hotel,2019-01-17,48,182,27,128.78
Alletra Boutique Hotel,2019-01-17,39,180,35,129.66
Simplivity Golden Plaza Hotel,2019-01-17,43,124,7,174.57
Cray Villas,2019-01-17,58,243,18,186.74
Apollo Diamond Suites,2019-01-17,47,163,31,185.51
Apollo Towers,2019-01-17,51,160,20,172.02
Alletra Diamond Grand Hotel,2019-01-18,43,105,11,157.88
ProLiant Towers,2019-01-18,45,122,10,172.18
Aruba Luxury Lodge,2019-01-18,34,150,28,122.24
InfoSight Boutique Hotel,2019-01-18,60,194,25,156.61
Primera Grand,2019-01-18,38,99,14,158.09
dHCI Executive Boutique Hotel,2019-01-18,57,177,23,201.55
ProLiant Haven,2019-01-18,31,86,12,118.38
Apollo Executive Beach Resort,2019-01-18,57,126,21,173.98
Aruba Lodge,2019-01-18,51,187,22,189.69
Alletra Haven,2019-01-18,40,116,21,106.94
dHCI Platinum Beach Resort,2019-01-18,36,175,11,157.97
GreenLake Platinum Heritage Inn,2019-01-18,45,213,32,158.34
Pointnext Signature Residences & Suites,2019-01-18,42,199,26,157.14
ProLiant Place,2019-01-18,42,142,20,117.91
Synergy Golden Grand Hotel,2019-01-18,41,145,18,99.09
Alletra Resort,2019-01-18,53,180,31,199.92
GreenLake Digital Business Suites,2019-01-18,41,120,6,161.85
Apollo Resort & Spa,2019-01-18,53,129,11,202.08
Nimble Inn,2019-01-18,48,199,18,116.83
Ezmeral Grand Hotel,2019-01-18,37,116,20,123.95
Alletra Boutique Hotel,2019-01-18,50,241,24,176.34
Simplivity Golden Plaza Hotel,2019-01-18,45,220,32,139.15
Cray Villas,2019-01-18,35,146,15,94.8
Apollo Diamond Suites,2019-01-18,47,162,30,147.96
Apollo Towers,2019-01-18,50,243,31,183.91
Alletra Diamond Grand Hotel,2019-01-19,47,100,5,109.92
ProLiant Towers,2019-01-19,58,127,9,133.37
Aruba Luxury Lodge,2019-01-19,54,117,17,204.86
InfoSight Boutique Hotel,2019-01-19,71,282,14,196.57
Primera Grand,2019-01-19,48,98,15,149.43
dHCI Executive Boutique Hotel,2019-01-19,44,154,23,131.89
ProLiant Haven,2019-01-19,67,155,9,136.95
Apollo Executive Beach Resort,2019-01-19,50,178,30,126.73
Aruba Lodge,2019-01-19,48,149,16,152.24
Alletra Haven,2019-01-19,60,173,30,119.67
dHCI Platinum Beach Resort,2019-01-19,72,308,19,176.61
GreenLake Platinum Heritage Inn,2019-01-19,59,127,6,129.22
Pointnext Signature Residences & Suites,2019-01-19,56,220,21,215.46
ProLiant Place,2019-01-19,46,218,18,178.92
Synergy Golden Grand Hotel,2019-01-19,66,226,12,125.81
Alletra Resort,2019-01-19,68,319,42,122.47
GreenLake Digital Business Suites,2019-01-19,69,141,11,138.9
Apollo Resort & Spa,2019-01-19,67,320,30,192.57
Nimble Inn,2019-01-19,59,237,31,154.29
Ezmeral Grand Hotel,2019-01-19,60,262,40,119.41
Alletra Boutique Hotel,2019-01-19,63,136,15,218.67
Simplivity Golden Plaza Hotel,2019-01-19,54,232,44,146.84
Cray Villas,2019-01-19,64,133,12,241.05
Apollo Diamond Suites,2019-01-19,53,162,30,148.78
Apollo Towers,2019-01-19,65,258,16,195.42
Alletra Diamond Grand Hotel,2019-01-20,63,260,16,132.43
ProLiant Towers,2019-01-20,67,165,17,165.33
Aruba Luxury Lodge,2019-01-20,37,178,20,143.34
InfoSight Boutique Hotel,2019-01-20,40,90,10,134.56
Primera Grand,2019-01-20,57,131,8,170.18
