hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha,tasa_ocupacion,reservas_confirmadas,cancelaciones,precio_promedio_noche
InfoSight Boutique Hotel,2906,1636,92.6,3951,2019-01-04,54,216,19,108.35
Primera Grand,3560,1601,66.2,3489,2019-01-04,54,136,17,151.76
dHCI Executive Boutique Hotel,3437,1891,57.4,4543,2019-01-04,38,96,13,136.24
ProLiant Haven,3143,1140,50.4,3106,2019-01-04,45,220,26,131.75
Apollo Executive Beach Resort,1402,1245,57.5,4966,2019-01-04,40,160,28,116.38
Aruba Lodge,3085,1402,71.0,4353,2019-01-04,52,181,27,143.65
Alletra Haven,3268,1988,50.0,3663,2019-01-04,54,197,23,137.97
dHCI Platinum Beach Resort,1920,1291,93.5,3132,2019-01-04,40,93,15,159.19
GreenLake Platinum Heritage Inn,2383,1446,56.5,3314,2019-01-04,56,278,41,166.77
Pointnext Signature Residences & Suites,3157,1051,88.1,4850,2019-01-04,43,92,11,146.55
ProLiant Place,3407,1493,84.0,4276,2019-01-04,45,174,28,113.32
Synergy Golden Grand Hotel,3835,1988,71.9,3179,2019-01-04,47,112,10,179.8
Alletra Resort,2698,1473,61.6,3832,2019-01-04,45,106,20,149.8
GreenLake Digital Business Suites,1345,1884,82.5,3910,2019-01-04,37,152,14,88.01
Apollo Resort & Spa,2107,1025,88.0,3934,2019-01-04,43,98,19,171.51
Nimble Inn,3849,1352,70.5,3309,2019-01-04,44,213,31,107.55
Ezmeral Grand Hotel,3570,1062,91.6,4810,2019-01-04,59,244,30,141.26
Alletra Boutique Hotel,2415,1471,64.2,3414,2019-01-04,56,193,23,157.16
Simplivity Golden Plaza Hotel,1928,1303,90.6,4945,2019-01-04,34,107,20,118.56
Cray Villas,2818,1140,52.1,3026,2019-01-04,58,139,8,197.63
Apollo Diamond Suites,1376,1586,89.7,3594,2019-01-04,57,184,34,164.88
Apollo Towers,2376,1432,77.8,3752,2019-01-04,56,112,17,199.8
Alletra Diamond Grand Hotel,1204,1373,90.0,4028,2019-01-05,63,218,15,180.86
ProLiant Towers,1331,1728,64.7,3615,2019-01-05,51,186,24,147.45
Aruba Luxury Lodge,2293,1000,85.5,3676,2019-01-05,48,237,20,134.77
InfoSight Boutique Hotel,1200,1830,76.8,3700,2019-01-05,68,144,23,213.91
Primera Grand,1665,1898,71.3,3740,2019-01-05,66,208,31,224.34
dHCI Executive Boutique Hotel,1656,1107,91.8,3257,2019-01-05,46,225,15,184.81
ProLiant Haven,3410,1780,92.2,4870,2019-01-05,46,212,24,144.39
Apollo Executive Beach Resort,2123,1333,69.8,4813,2019-01-05,49,204,22,163.17
Aruba Lodge,1701,1069,58.1,4322,2019-01-05,40,136,26,117.08
Alletra Haven,2268,1230,77.5,3038,2019-01-05,63,248,44,220.4
dHCI Platinum Beach Resort,2297,1261,94.4,3127,2019-01-05,70,219,21,220.62
GreenLake Platinum Heritage Inn,3836,1980,76.7,4740,2019-01-05,66,304,16,125.03
Pointnext Signature Residences & Suites,1482,1763,90.4,3070,2019-01-05,65,309,61,212.08
ProLiant Place,2807,1384,86.1,3268,2019-01-05,49,209,32,108.85
Synergy Golden Grand Hotel,2901,1840,53.4,4553,2019-01-05,44,207,11,164.06
Alletra Resort,1394,1108,57.8,4999,2019-01-05,49,153,10,151.05
GreenLake Digital Business Suites,3337,1542,76.2,4549,2019-01-05,63,275,20,122.95
Apollo Resort & Spa,2004,1031,59.4,4310,2019-01-05,68,262,22,242.14
Nimble Inn,2713,1887,91.2,4869,2019-01-05,42,142,12,113.45
Ezmeral Grand Hotel,2730,1781,88.1,4801,2019-01-05,42,197,29,105.27
Alletra Boutique Hotel,1812,1668,63.4,4669,2019-01-05,54,267,25,207.9
Simplivity Golden Plaza Hotel,2262,1260,61.3,3486,2019-01-05,61,205,19,232.92
Cray Villas,1682,1997,62.8,4378,2019-01-05,69,160,17,168.54
Apollo Diamond Suites,3483,1961,57.6,3504,2019-01-05,48,99,17,136.0
Apollo Towers,1964,1976,65.2,3462,2019-01-05,44,202,33,179.68
Alletra Diamond Grand Hotel,3660,1966,91.6,3912,2019-01-06,73,309,54,254.83
ProLiant Towers,3529,1981,77.1,4009,2019-01-06,62,236,24,190.94
Aruba Luxury Lodge,3867,1129,51.2,3411,2019-01-06,58,233,36,184.47
InfoSight Boutique Hotel,1516,1210,58.1,4796,2019-01-06,63,244,45,194.44
Primera Grand,3330,1739,87.6,4131,2019-01-06,51,107,11,114.4
dHCI Executive Boutique Hotel,3012,1898,65.3,4639,2019-01-06,68,202,22,145.31
ProLiant Haven,3659,1427,79.2,4704,2019-01-06,68,314,32,186.24
Apollo Executive Beach Resort,1830,1113,75.9,3342,2019-01-06,45,124,21,138.37
Aruba Lodge,2160,1446,73.9,3287,2019-01-06,64,271,27,128.74
Alletra Haven,1594,1826,50.6,4550,2019-01-06,66,159,31,229.54
dHCI Platinum Beach Resort,1322,2000,86.9,4391,2019-01-06,68,335,65,227.42
GreenLake Platinum Heritage Inn,1171,1325,79.2,4060,2019-01-06,47,205,10,147.44
Pointnext Signature Residences & Suites,2736,1298,53.2,4970,2019-01-06,54,216,32,167.13
ProLiant Place,3180,1381,58.2,4211,2019-01-06,71,342,22,154.2
Synergy Golden Grand Hotel,1696,1806,55.5,3825,2019-01-06,44,204,27,174.54
Alletra Resort,1973,1513,83.5,4842,2019-01-06,52,113,19,196.58
GreenLake Digital Business Suites,2154,1248,84.0,4380,2019-01-06,54,174,12,206.2
Apollo Resort & Spa,2418,1079,74.7,4941,2019-01-06,51,119,10,155.83
Nimble Inn,3495,1427,79.0,3178,2019-01-06,54,168,32,179.22
Ezmeral Grand Hotel,1493,1029,76.0,3186,2019-01-06,58,218,34,210.71
Alletra Boutique Hotel,2932,1802,81.6,4634,2019-01-06,56,252,35,211.17
Simplivity Golden Plaza Hotel,3920,1146,74.9,3831,2019-01-06,43,175,14,131.24
Cray Villas,2668,1930,89.5,4825,2019-01-06,47,108,16,148.18
Apollo Diamond Suites,1867,1890,86.5,3506,2019-01-06,60,130,11,226.18
Apollo Towers,3713,1970,60.1,3370,2019-01-06,72,163,13,214.09
Alletra Diamond Grand Hotel,3581,1565,51.3,3202,2019-01-07,30,64,6,139.33
ProLiant Towers,3371,1131,74.8,4706,2019-01-07,55,203,12,189.17
Aruba Luxury Lodge,3591,1293,57.8,3006,2019-01-07,36,135,23,102.78
InfoSight Boutique Hotel,2192,1140,57.4,3351,2019-01-07,54,131,24,104.31
Primera Grand,2772,1354,50.2,4081,2019-01-07,57,282,55,168.58
dHCI Executive Boutique Hotel,2553,1786,79.5,4582,2019-01-07,55,138,20,107.84
ProLiant Haven,3639,1604,67.5,3113,2019-01-07,30,92,15,115.33
Apollo Executive Beach Resort,3739,1950,50.5,4994,2019-01-07,30,75,4,124.5
Aruba Lodge,3453,1973,68.5,3271,2019-01-07,46,107,6,137.24
Alletra Haven,3297,1759,67.3,4454,2019-01-07,41,145,9,132.31
dHCI Platinum Beach Resort,2975,1127,60.6,4562,2019-01-07,60,230,36,219.05
GreenLake Platinum Heritage Inn,1952,1155,68.4,3610,2019-01-07,51,181,21,199.33
Pointnext Signature Residences & Suites,2119,1830,85.4,4404,2019-01-07,31,154,27,107.43
ProLiant Place,1788,1209,73.8,4928,2019-01-07,33,114,21,87.85
Synergy Golden Grand Hotel,1120,1150,91.2,3682,2019-01-07,32,94,6,90.08
Alletra Resort,2123,1812,76.3,4392,2019-01-07,49,191,25,130.87
GreenLake Digital Business Suites,2010,1439,63.3,3617,2019-01-07,49,175,20,158.33
Apollo Resort & Spa,2842,1582,61.5,3386,2019-01-07,33,144,9,126.21
Nimble Inn,3600,1898,54.7,3840,2019-01-07,58,249,39,132.94
Ezmeral Grand Hotel,1760,1019,67.2,3411,2019-01-07,44,205,22,166.81
Alletra Boutique Hotel,3904,1332,72.0,3027,2019-01-07,42,136,8,127.85
Simplivity Golden Plaza Hotel,3302,1356,85.3,3896,2019-01-07,51,140,27,171.06
Cray Villas,2064,1536,57.6,3383,2019-01-07,45,99,17,103.39
Apollo Diamond Suites,3391,1283,81.9,3068,2019-01-07,33,139,14,91.59
Apollo Towers,2906,1568,74.1,3228,2019-01-07,31,116,15,101.44
Alletra Diamond Grand Hotel,1871,1789,70.6,4958,2019-01-08,33,106,19,145.11
ProLiant Towers,3853,1117,88.4,3323,2019-01-08,43,197,31,176.28
Aruba Luxury Lodge,3717,1871,53.7,4356,2019-01-08,49,143,9,148.73
InfoSight Boutique Hotel,3688,1677,93.7,3448,2019-01-08,34,134,11,91.36
Primera Grand,2651,1376,80.8,3554,2019-01-08,57,209,14,138.76
dHCI Executive Boutique Hotel,1561,1645,57.7,3204,2019-01-08,37,163,28,159.12
ProLiant Haven,3683,1132,85.8,3947,2019-01-08,56,216,32,168.35
Apollo Executive Beach Resort,3787,1894,66.7,4228,2019-01-08,49,234,40,125.21
Aruba Lodge,1536,1260,67.3,3348,2019-01-08,35,98,16,149.51
Alletra Haven,1024,1567,94.4,4920,2019-01-08,41,82,14,137.44
dHCI Platinum Beach Resort,3818,1799,68.7,3382,2019-01-08,42,92,14,173.63
GreenLake Platinum Heritage Inn,2494,1052,93.0,3802,2019-01-08,32,135,11,108.87
Pointnext Signature Residences & Suites,1614,1181,58.5,4305,2019-01-08,40,98,9,115.95
ProLiant Place,1379,1024,65.6,4422,2019-01-08,60,222,13,116.31
Synergy Golden Grand Hotel,1963,1307,84.0,3246,2019-01-08,35,149,8,90.71
Alletra Resort,3254,1293,70.4,4687,2019-01-08,44,175,21,132.9
GreenLake Digital Business Suites,2005,1470,70.2,3687,2019-01-08,38,100,12,114.23
Apollo Resort & Spa,1091,1092,52.5,4495,2019-01-08,33,94,14,115.12
Nimble Inn,2887,1357,77.6,3704,2019-01-08,51,149,12,201.41
Ezmeral Grand Hotel,2255,1681,69.7,3022,2019-01-08,31,62,5,94.1
Alletra Boutique Hotel,2154,1878,72.6,3257,2019-01-08,34,145,13,92.16
Simplivity Golden Plaza Hotel,1023,1106,85.7,3391,2019-01-08,45,190,14,129.22
Cray Villas,1145,1202,90.2,3678,2019-01-08,52,139,18,171.48
Apollo Diamond Suites,2833,1342,57.8,4371,2019-01-08,41,90,16,94.47
Apollo Towers,3970,1157,79.6,3501,2019-01-08,30,101,6,98.78
Alletra Diamond Grand Hotel,1677,1814,79.5,4248,2019-01-09,43,159,24,128.92
ProLiant Towers,2681,1566,84.1,3157,2019-01-09,33,106,20,94.34
Aruba Luxury Lodge,1712,1053,62.7,3571,2019-01-09,60,231,40,220.37
InfoSight Boutique Hotel,1475,1549,50.2,4014,2019-01-09,32,105,6,109.88
Primera Grand,3408,1213,68.5,3304,2019-01-09,42,150,16,118.06
dHCI Executive Boutique Hotel,3186,1271,73.5,4504,2019-01-09,40,106,17,96.11
ProLiant Haven,1340,1502,70.9,4388,2019-01-09,50,117,14,190.59
Apollo Executive Beach Resort,2344,1381,56.9,3683,2019-01-09,41,125,24,143.93
Aruba Lodge,3659,1855,85.9,4704,2019-01-09,34,92,6,97.41
Alletra Haven,3785,1589,91.4,4470,2019-01-09,49,120,19,106.38
dHCI Platinum Beach Resort,1039,1882,54.5,3943,2019-01-09,60,259,32,200.53
GreenLake Platinum Heritage Inn,1780,1518,91.8,4787,2019-01-09,54,201,30,199.26
Pointnext Signature Residences & Suites,2023,1299,50.1,4119,2019-01-09,50,195,28,186.42
ProLiant Place,2982,1413,86.4,3718,2019-01-09,50,147,17,146.89
Synergy Golden Grand Hotel,1191,1376,92.0,3486,2019-01-09,50,145,13,105.62
Alletra Resort,2010,1646,76.9,3320,2019-01-09,46,102,12,99.46
GreenLake Digital Business Suites,1125,1987,86.9,4747,2019-01-09,41,184,11,161.87
Apollo Resort & Spa,1242,1252,52.3,4954,2019-01-09,57,129,17,150.83
Nimble Inn,3978,1568,91.3,4531,2019-01-09,48,175,29,184.0
Ezmeral Grand Hotel,3248,1434,74.1,3391,2019-01-09,44,207,28,110.57
Alletra Boutique Hotel,1495,1929,63.8,4481,2019-01-09,49,167,12,105.06
Simplivity Golden Plaza Hotel,2307,1901,72.8,4339,2019-01-09,33,146,25,147.84
Cray Villas,3710,1850,70.6,3193,2019-01-09,32,112,8,97.86
Apollo Diamond Suites,3947,1174,59.3,3150,2019-01-09,44,218,28,147.66
Apollo Towers,3979,1706,84.2,3446,2019-01-09,41,127,11,124.52
Alletra Diamond Grand Hotel,3994,1581,70.3,4235,2019-01-10,40,161,9,140.47
ProLiant Towers,2366,1812,81.3,4471,2019-01-10,40,87,5,144.27
Aruba Luxury Lodge,1976,1016,80.4,4786,2019-01-10,39,107,19,164.22
InfoSight Boutique Hotel,2901,1881,52.2,3985,2019-01-10,49,226,22,156.11
Primera Grand,1343,1953,53.7,3680,2019-01-10,34,161,15,128.61
dHCI Executive Boutique Hotel,3174,1832,62.0,4009,2019-01-10,51,161,22,196.68
ProLiant Haven,3493,1912,93.1,4844,2019-01-10,39,143,20,114.62
Apollo Executive Beach Resort,3471,1630,89.3,4539,2019-01-10,34,136,23,134.24
Aruba Lodge,3575,1088,74.5,4161,2019-01-10,51,241,15,169.39
Alletra Haven,1277,1204,71.0,3250,2019-01-10,46,141,14,112.58
dHCI Platinum Beach Resort,2334,1755,61.2,4075,2019-01-10,36,108,17,99.82
GreenLake Platinum Heritage Inn,3310,1614,56.4,4674,2019-01-10,34,83,7,137.59
Pointnext Signature Residences & Suites,1966,1549,60.7,3003,2019-01-10,46,198,34,177.3
ProLiant Place,2119,1111,83.5,4055,2019-01-10,31,123,22,119.32
Synergy Golden Grand Hotel,2142,1071,82.3,3999,2019-01-10,49,153,11,180.47
Alletra Resort,1535,1686,94.6,3871,2019-01-10,54,209,38,181.89
GreenLake Digital Business Suites,3858,1499,92.4,4833,2019-01-10,31,100,15,95.73
Apollo Resort & Spa,1886,1267,53.6,3684,2019-01-10,44,168,27,162.97
Nimble Inn,3459,1948,91.0,3355,2019-01-10,37,133,12,146.84
Ezmeral Grand Hotel,3075,1075,58.4,3067,2019-01-10,45,212,16,156.05
Alletra Boutique Hotel,2610,1042,61.9,4068,2019-01-10,48,237,28,125.05
Simplivity Golden Plaza Hotel,2712,1988,61.1,4769,2019-01-10,42,147,16,105.61
Cray Villas,1663,1776,91.1,4851,2019-01-10,36,158,11,104.0
Apollo Diamond Suites,2192,1018,67.0,3388,2019-01-10,50,172,18,193.43
Apollo Towers,2684,1042,53.6,4699,2019-01-10,52,235,41,131.65
Alletra Diamond Grand Hotel,1369,1550,74.8,4432,2019-01-11,54,133,15,159.44
ProLiant Towers,2719,1622,87.5,4861,2019-01-11,56,185,35,130.87
Aruba Luxury Lodge,1964,1210,81.8,3508,2019-01-11,44,204,38,130.51
InfoSight Boutique Hotel,2364,1733,89.0,4655,2019-01-11,42,147,12,175.54
Primera Grand,1249,1129,87.9,3098,2019-01-11,41,109,10,99.12
dHCI Executive Boutique Hotel,3552,1882,92.6,4257,2019-01-11,52,205,34,116.31
ProLiant Haven,3779,1452,80.6,4452,2019-01-11,39,185,22,153.83
Apollo Executive Beach Resort,3445,1734,61.0,3034,2019-01-11,54,222,26,104.57
Aruba Lodge,3692,1265,52.9,4960,2019-01-11,32,65,5,91.57
Alletra Haven,2697,1777,61.0,4037,2019-01-11,60,250,32,123.34
dHCI Platinum Beach Resort,1790,1642,68.1,4753,2019-01-11,39,105,7,107.6
GreenLake Platinum Heritage Inn,2466,1880,91.9,3259,2019-01-11,50,219,25,111.09
Pointnext Signature Residences & Suites,1479,1950,51.2,4545,2019-01-11,58,202,26,181.31
ProLiant Place,2869,1840,92.9,3019,2019-01-11,48,130,9,139.21
Synergy Golden Grand Hotel,1713,1536,65.6,3733,2019-01-11,49,149,20,117.36
Alletra Resort,1949,1699,72.6,3258,2019-01-11,51,115,22,107.9
GreenLake Digital Business Suites,3707,1409,76.0,4123,2019-01-11,46,167,28,142.7
Apollo Resort & Spa,1309,1291,53.4,4016,2019-01-11,30,95,11,118.14
Nimble Inn,1563,1648,91.2,4137,2019-01-11,41,113,5,155.66
Ezmeral Grand Hotel,3440,1766,65.4,4048,2019-01-11,41,111,16,99.5
Alletra Boutique Hotel,3839,1120,92.2,3775,2019-01-11,48,201,20,102.26
Simplivity Golden Plaza Hotel,2927,1668,86.9,4452,2019-01-11,47,141,20,175.06
Cray Villas,3528,1850,72.3,4616,2019-01-11,51,173,26,165.44
Apollo Diamond Suites,3174,1832,85.4,3276,2019-01-11,55,132,20,208.8
Apollo Towers,2693,1993,92.2,3914,2019-01-11,31,89,5,93.37
Alletra Diamond Grand Hotel,2737,1302,93.4,4688,2019-01-12,41,196,24,172.11
ProLiant Towers,2981,1809,66.5,4093,2019-01-12,59,162,26,131.55
Aruba Luxury Lodge,3303,1232,81.0,4549,2019-01-12,46,211,21,107.45
InfoSight Boutique Hotel,1235,1073,79.3,3264,2019-01-12,52,242,39,195.04
Primera Grand,2165,1962,53.2,3793,2019-01-12,52,255,31,153.74
dHCI Executive Boutique Hotel,3185,1069,84.8,4795,2019-01-12,72,201,12,183.13
ProLiant Haven,3213,1497,81.2,4798,2019-01-12,57,284,21,140.49
Apollo Executive Beach Resort,3222,1859,75.7,3710,2019-01-12,39,116,10,123.78
Aruba Lodge,1014,1057,89.2,4709,2019-01-12,63,157,18,169.34
Alletra Haven,2104,1939,77.7,3038,2019-01-12,63,242,27,193.57
dHCI Platinum Beach Resort,3548,1159,93.5,4031,2019-01-12,60,133,19,153.6
GreenLake Platinum Heritage Inn,3529,1302,86.4,4408,2019-01-12,70,173,9,238.81
Pointnext Signature Residences & Suites,3741,1975,86.4,3901,2019-01-12,63,132,7,211.09
ProLiant Place,3432,1041,62.9,4864,2019-01-12,51,160,21,162.72
Synergy Golden Grand Hotel,3033,1610,87.9,4649,2019-01-12,63,305,32,209.15
Alletra Resort,2641,1088,63.3,4167,2019-01-12,55,197,21,176.45
GreenLake Digital Business Suites,3657,1028,91.4,4198,2019-01-12,43,89,6,137.53
Apollo Resort & Spa,3645,1753,64.7,4592,2019-01-12,72,169,28,223.38
Nimble Inn,2627,1556,67.3,4533,2019-01-12,50,142,26,149.12
Ezmeral Grand Hotel,1119,1093,59.4,4226,2019-01-12,40,182,21,161.89
Alletra Boutique Hotel,3037,1546,67.1,4906,2019-01-12,50,221,43,198.66
Simplivity Golden Plaza Hotel,2794,1480,69.4,3000,2019-01-12,61,251,33,146.42
Cray Villas,1128,1629,64.8,4454,2019-01-12,46,190,35,154.67
Apollo Diamond Suites,2247,1180,85.4,3672,2019-01-12,65,229,15,141.13
Apollo Towers,1162,1769,73.9,3919,2019-01-12,42,183,9,138.54
Alletra Diamond Grand Hotel,3522,1067,79.8,3717,2019-01-13,53,233,30,167.87
ProLiant Towers,1617,1981,56.8,4667,2019-01-13,38,111,22,142.63
Aruba Luxury Lodge,3933,1878,87.1,4303,2019-01-13,57,245,42,115.41
InfoSight Boutique Hotel,1924,1803,54.1,4527,2019-01-13,55,122,14,161.91
Primera Grand,3535,1851,89.5,4542,2019-01-13,47,184,14,187.83
dHCI Executive Boutique Hotel,1146,1238,63.5,3582,2019-01-13,56,264,15,119.91
ProLiant Haven,2612,1834,69.5,3904,2019-01-13,43,107,10,154.0
Apollo Executive Beach Resort,1654,1112,77.1,3378,2019-01-13,54,252,44,131.07
Aruba Lodge,1841,1078,92.7,4100,2019-01-13,63,177,25,190.42
Alletra Haven,1997,1821,86.6,3162,2019-01-13,45,176,24,147.26
dHCI Platinum Beach Resort,3793,1573,79.4,4801,2019-01-13,50,193,35,133.76
GreenLake Platinum Heritage Inn,1936,1116,53.3,3237,2019-01-13,73,155,27,134.86
Pointnext Signature Residences & Suites,2566,1559,54.2,4221,2019-01-13,75,323,28,156.62
ProLiant Place,1821,1511,64.1,4916,2019-01-13,59,227,12,213.9
Synergy Golden Grand Hotel,3253,1612,94.1,4974,2019-01-13,56,219,20,133.43
Alletra Resort,2663,1147,66.2,4942,2019-01-13,70,225,26,216.41
GreenLake Digital Business Suites,2801,1899,58.6,4801,2019-01-13,47,152,18,128.98
Apollo Resort & Spa,3356,1285,66.0,4860,2019-01-13,44,201,19,180.95
Nimble Inn,3844,1882,64.4,4012,2019-01-13,52,124,13,160.41
Ezmeral Grand Hotel,3099,1231,85.3,3126,2019-01-13,48,163,14,121.8
Alletra Boutique Hotel,2135,1949,77.9,3352,2019-01-13,38,109,11,134.77
Simplivity Golden Plaza Hotel,3447,1410,72.1,3241,2019-01-13,44,195,37,157.46
Cray Villas,1882,1852,81.4,4988,2019-01-13,43,150,19,135.89
Apollo Diamond Suites,2117,1879,51.2,3287,2019-01-13,51,105,20,152.56
Apollo Towers,2487,1161,76.0,4111,2019-01-13,68,179,18,124.87
Alletra Diamond Grand Hotel,1893,1108,90.0,4199,2019-01-14,45,170,29,155.53
ProLiant Towers,1390,1784,89.2,3526,2019-01-14,39,140,24,122.61
Aruba Luxury Lodge,2140,1785,61.9,4661,2019-01-14,58,162,16,154.78
InfoSight Boutique Hotel,2135,1645,86.9,4473,2019-01-14,31,99,13,93.07
