hotel_nombre,consumo_energia_kwh,residuos_generados_kg,porcentaje_reciclaje,uso_agua_m3,fecha
Alletra Haven,2134,1304,85.6,4882,2019-01-02
dHCI Platinum Beach Resort,1603,1614,71.0,4962,2019-01-02
GreenLake Platinum Heritage Inn,2610,1844,84.1,3174,2019-01-02
Pointnext Signature Residences & Suites,3194,1679,60.1,4796,2019-01-02
ProLiant Place,1628,1353,82.8,4092,2019-01-02
Synergy Golden Grand Hotel,3713,1747,63.9,3585,2019-01-02
Alletra Resort,1182,1604,83.1,4704,2019-01-02
GreenLake Digital Business Suites,2501,1344,55.4,3399,2019-01-02
Apollo Resort & Spa,3561,1070,66.2,3725,2019-01-02
Nimble Inn,1625,1575,92.4,4370,2019-01-02
Ezmeral Grand Hotel,1719,1111,57.6,3534,2019-01-02
Alletra Boutique Hotel,1362,1976,52.5,3076,2019-01-02
Simplivity Golden Plaza Hotel,1159,1374,61.2,3486,2019-01-02
Cray Villas,1447,1973,51.9,4815,2019-01-02
Apollo Diamond Suites,2131,1919,54.1,3060,2019-01-02
Apollo Towers,3668,1588,94.0,4012,2019-01-02
Alletra Diamond Grand Hotel,2022,1705,94.6,3450,2019-01-03
ProLiant Towers,1810,1654,51.4,4691,2019-01-03
Aruba Luxury Lodge,1758,1040,64.2,3458,2019-01-03
InfoSight Boutique Hotel,3194,1483,64.2,4647,2019-01-03
Primera Grand,3480,1338,94.6,4321,2019-01-03
dHCI Executive Boutique Hotel,1309,1759,56.8,3119,2019-01-03
ProLiant Haven,2661,1906,84.0,3838,2019-01-03
Apollo Executive Beach Resort,1823,1110,74.8,4448,2019-01-03
Aruba Lodge,1959,1170,57.6,3112,2019-01-03
Alletra Haven,2119,1652,82.7,3544,2019-01-03
dHCI Platinum Beach Resort,3115,1395,62.7,4470,2019-01-03
GreenLake Platinum Heritage Inn,3342,1446,90.8,3070,2019-01-03
Pointnext Signature Residences & Suites,2296,1757,55.5,4802,2019-01-03
ProLiant Place,1614,1942,69.8,4360,2019-01-03
Synergy Golden Grand Hotel,3616,1964,68.8,4768,2019-01-03
Alletra Resort,2213,1220,68.7,4048,2019-01-03
GreenLake Digital Business Suites,2775,1739,50.3,4736,2019-01-03
Apollo Resort & Spa,1165,1333,68.2,4572,2019-01-03
Nimble Inn,1421,1970,76.1,4089,2019-01-03
Ezmeral Grand Hotel,2464,1074,77.5,3630,2019-01-03
Alletra Boutique Hotel,1613,1281,58.2,3397,2019-01-03
Simplivity Golden Plaza Hotel,1577,1092,88.7,3371,2019-01-03
Cray Villas,2448,1879,90.7,3150,2019-01-03
Apollo Diamond Suites,3903,1881,55.9,3035,2019-01-03
Apollo Towers,1624,1901,90.8,3832,2019-01-03
Alletra Diamond Grand Hotel,3108,1430,94.8,4005,2019-01-04
ProLiant Towers,2503,1749,87.2,3395,2019-01-04
Aruba Luxury Lodge,3496,1263,72.6,3280,2019-01-04
InfoSight Boutique Hotel,2906,1636,92.6,3951,2019-01-04
Primera Grand,3560,1601,66.2,3489,2019-01-04
dHCI Executive Boutique Hotel,3437,1891,57.4,4543,2019-01-04
ProLiant Haven,3143,1140,50.4,3106,2019-01-04
Apollo Executive Beach Resort,1402,1245,57.5,4966,2019-01-04
Aruba Lodge,3085,1402,71.0,4353,2019-01-04
Alletra Haven,3268,1988,50.0,3663,2019-01-04
dHCI Platinum Beach Resort,1920,1291,93.5,3132,2019-01-04
GreenLake Platinum Heritage Inn,2383,1446,56.5,3314,2019-01-04
Pointnext Signature Residences & Suites,3157,1051,88.1,4850,2019-01-04
ProLiant Place,3407,1493,84.0,4276,2019-01-04
Synergy Golden Grand Hotel,3835,1988,71.9,3179,2019-01-04
Alletra Resort,2698,1473,61.6,3832,2019-01-04
GreenLake Digital Business Suites,1345,1884,82.5,3910,2019-01-04
Apollo Resort & Spa,2107,1025,88.0,3934,2019-01-04
Nimble Inn,3849,1352,70.5,3309,2019-01-04
Ezmeral Grand Hotel,3570,1062,91.6,4810,2019-01-04
Alletra Boutique Hotel,2415,1471,64.2,3414,2019-01-04
Simplivity Golden Plaza Hotel,1928,1303,90.6,4945,2019-01-04
Cray Villas,2818,1140,52.1,3026,2019-01-04
Apollo Diamond Suites,1376,1586,89.7,3594,2019-01-04
Apollo Towers,2376,1432,77.8,3752,2019-01-04
Alletra Diamond Grand Hotel,1204,1373,90.0,4028,2019-01-05
ProLiant Towers,1331,1728,64.7,3615,2019-01-05
Aruba Luxury Lodge,2293,1000,85.5,3676,2019-01-05
InfoSight Boutique Hotel,1200,1830,76.8,3700,2019-01-05
Primera Grand,1665,1898,71.3,3740,2019-01-05
dHCI Executive Boutique Hotel,1656,1107,91.8,3257,2019-01-05
ProLiant Haven,3410,1780,92.2,4870,2019-01-05
Apollo Executive Beach Resort,2123,1333,69.8,4813,2019-01-05
Aruba Lodge,1701,1069,58.1,4322,2019-01-05
Alletra Haven,2268,1230,77.5,3038,2019-01-05
dHCI Platinum Beach Resort,2297,1261,94.4,3127,2019-01-05
GreenLake Platinum Heritage Inn,3836,1980,76.7,4740,2019-01-05
Pointnext Signature Residences & Suites,1482,1763,90.4,3070,2019-01-05
ProLiant Place,2807,1384,86.1,3268,2019-01-05
Synergy Golden Grand Hotel,2901,1840,53.4,4553,2019-01-05
Alletra Resort,1394,1108,57.8,4999,2019-01-05
GreenLake Digital Business Suites,3337,1542,76.2,4549,2019-01-05
Apollo Resort & Spa,2004,1031,59.4,4310,2019-01-05
Nimble Inn,2713,1887,91.2,4869,2019-01-05
Ezmeral Grand Hotel,2730,1781,88.1,4801,2019-01-05
Alletra Boutique Hotel,1812,1668,63.4,4669,2019-01-05
Simplivity Golden Plaza Hotel,2262,1260,61.3,3486,2019-01-05
Cray Villas,1682,1997,62.8,4378,2019-01-05
Apollo Diamond Suites,3483,1961,57.6,3504,2019-01-05
Apollo Towers,1964,1976,65.2,3462,2019-01-05
Alletra Diamond Grand Hotel,3660,1966,91.6,3912,2019-01-06
ProLiant Towers,3529,1981,77.1,4009,2019-01-06
Aruba Luxury Lodge,3867,1129,51.2,3411,2019-01-06
InfoSight Boutique Hotel,1516,1210,58.1,4796,2019-01-06
Primera Grand,3330,1739,87.6,4131,2019-01-06
dHCI Executive Boutique Hotel,3012,1898,65.3,4639,2019-01-06
ProLiant Haven,3659,1427,79.2,4704,2019-01-06
Apollo Executive Beach Resort,1830,1113,75.9,3342,2019-01-06
Aruba Lodge,2160,1446,73.9,3287,2019-01-06
Alletra Haven,1594,1826,50.6,4550,2019-01-06
dHCI Platinum Beach Resort,1322,2000,86.9,4391,2019-01-06
GreenLake Platinum Heritage Inn,1171,1325,79.2,4060,2019-01-06
Pointnext Signature Residences & Suites,2736,1298,53.2,4970,2019-01-06
ProLiant Place,3180,1381,58.2,4211,2019-01-06
Synergy Golden Grand Hotel,1696,1806,55.5,3825,2019-01-06
Alletra Resort,1973,1513,83.5,4842,2019-01-06
GreenLake Digital Business Suites,2154,1248,84.0,4380,2019-01-06
Apollo Resort & Spa,2418,1079,74.7,4941,2019-01-06
Nimble Inn,3495,1427,79.0,3178,2019-01-06
Ezmeral Grand Hotel,1493,1029,76.0,3186,2019-01-06
Alletra Boutique Hotel,2932,1802,81.6,4634,2019-01-06
Simplivity Golden Plaza Hotel,3920,1146,74.9,3831,2019-01-06
Cray Villas,2668,1930,89.5,4825,2019-01-06
Apollo Diamond Suites,1867,1890,86.5,3506,2019-01-06
Apollo Towers,3713,1970,60.1,3370,2019-01-06
Alletra Diamond Grand Hotel,3581,1565,51.3,3202,2019-01-07
ProLiant Towers,3371,1131,74.8,4706,2019-01-07
Aruba Luxury Lodge,3591,1293,57.8,3006,2019-01-07
InfoSight Boutique Hotel,2192,1140,57.4,3351,2019-01-07
Primera Grand,2772,1354,50.2,4081,2019-01-07
dHCI Executive Boutique Hotel,2553,1786,79.5,4582,2019-01-07
ProLiant Haven,3639,1604,67.5,3113,2019-01-07
Apollo Executive Beach Resort,3739,1950,50.5,4994,2019-01-07
Aruba Lodge,3453,1973,68.5,3271,2019-01-07
Alletra Haven,3297,1759,67.3,4454,2019-01-07
dHCI Platinum Beach Resort,2975,1127,60.6,4562,2019-01-07
GreenLake Platinum Heritage Inn,1952,1155,68.4,3610,2019-01-07
Pointnext Signature Residences & Suites,2119,1830,85.4,4404,2019-01-07
ProLiant Place,1788,1209,73.8,4928,2019-01-07
Synergy Golden Grand Hotel,1120,1150,91.2,3682,2019-01-07
Alletra Resort,2123,1812,76.3,4392,2019-01-07
GreenLake Digital Business Suites,2010,1439,63.3,3617,2019-01-07
Apollo Resort & Spa,2842,1582,61.5,3386,2019-01-07
Nimble Inn,3600,1898,54.7,3840,2019-01-07
Ezmeral Grand Hotel,1760,1019,67.2,3411,2019-01-07
Alletra Boutique Hotel,3904,1332,72.0,3027,2019-01-07
Simplivity Golden Plaza Hotel,3302,1356,85.3,3896,2019-01-07
Cray Villas,2064,1536,57.6,3383,2019-01-07
Apollo Diamond Suites,3391,1283,81.9,3068,2019-01-07
Apollo Towers,2906,1568,74.1,3228,2019-01-07
Alletra Diamond Grand Hotel,1871,1789,70.6,4958,2019-01-08
ProLiant Towers,3853,1117,88.4,3323,2019-01-08
Aruba Luxury Lodge,3717,1871,53.7,4356,2019-01-08
InfoSight Boutique Hotel,3688,1677,93.7,3448,2019-01-08
Primera Grand,2651,1376,80.8,3554,2019-01-08
dHCI Executive Boutique Hotel,1561,1645,57.7,3204,2019-01-08
ProLiant Haven,3683,1132,85.8,3947,2019-01-08
Apollo Executive Beach Resort,3787,1894,66.7,4228,2019-01-08
Aruba Lodge,1536,1260,67.3,3348,2019-01-08
Alletra Haven,1024,1567,94.4,4920,2019-01-08
dHCI Platinum Beach Resort,3818,1799,68.7,3382,2019-01-08
GreenLake Platinum Heritage Inn,2494,1052,93.0,3802,2019-01-08
Pointnext Signature Residences & Suites,1614,1181,58.5,4305,2019-01-08
ProLiant Place,1379,1024,65.6,4422,2019-01-08
Synergy Golden Grand Hotel,1963,1307,84.0,3246,2019-01-08
Alletra Resort,3254,1293,70.4,4687,2019-01-08
GreenLake Digital Business Suites,2005,1470,70.2,3687,2019-01-08
Apollo Resort & Spa,1091,1092,52.5,4495,2019-01-08
Nimble Inn,2887,1357,77.6,3704,2019-01-08
Ezmeral Grand Hotel,2255,1681,69.7,3022,2019-01-08
Alletra Boutique Hotel,2154,1878,72.6,3257,2019-01-08
Simplivity Golden Plaza Hotel,1023,1106,85.7,3391,2019-01-08
Cray Villas,1145,1202,90.2,3678,2019-01-08
Apollo Diamond Suites,2833,1342,57.8,4371,2019-01-08
Apollo Towers,3970,1157,79.6,3501,2019-01-08
Alletra Diamond Grand Hotel,1677,1814,79.5,4248,2019-01-09
ProLiant Towers,2681,1566,84.1,3157,2019-01-09
Aruba Luxury Lodge,1712,1053,62.7,3571,2019-01-09
InfoSight Boutique Hotel,1475,1549,50.2,4014,2019-01-09
Primera Grand,3408,1213,68.5,3304,2019-01-09
dHCI Executive Boutique Hotel,3186,1271,73.5,4504,2019-01-09
ProLiant Haven,1340,1502,70.9,4388,2019-01-09
Apollo Executive Beach Resort,2344,1381,56.9,3683,2019-01-09
Aruba Lodge,3659,1855,85.9,4704,2019-01-09
Alletra Haven,3785,1589,91.4,4470,2019-01-09
dHCI Platinum Beach Resort,1039,1882,54.5,3943,2019-01-09
GreenLake Platinum Heritage Inn,1780,1518,91.8,4787,2019-01-09
Pointnext Signature Residences & Suites,2023,1299,50.1,4119,2019-01-09
ProLiant Place,2982,1413,86.4,3718,2019-01-09
Synergy Golden Grand Hotel,1191,1376,92.0,3486,2019-01-09
Alletra Resort,2010,1646,76.9,3320,2019-01-09
GreenLake Digital Business Suites,1125,1987,86.9,4747,2019-01-09
Apollo Resort & Spa,1242,1252,52.3,4954,2019-01-09
Nimble Inn,3978,1568,91.3,4531,2019-01-09
Ezmeral Grand Hotel,3248,1434,74.1,3391,2019-01-09
Alletra Boutique Hotel,1495,1929,63.8,4481,2019-01-09
Simplivity Golden Plaza Hotel,2307,1901,72.8,4339,2019-01-09
Cray Villas,3710,1850,70.6,3193,2019-01-09
Apollo Diamond Suites,3947,1174,59.3,3150,2019-01-09
Apollo Towers,3979,1706,84.2,3446,2019-01-09
Alletra Diamond Grand Hotel,3994,1581,70.3,4235,2019-01-10
ProLiant Towers,2366,1812,81.3,4471,2019-01-10
Aruba Luxury Lodge,1976,1016,80.4,4786,2019-01-10
InfoSight Boutique Hotel,2901,1881,52.2,3985,2019-01-10
Primera Grand,1343,1953,53.7,3680,2019-01-10
dHCI Executive Boutique Hotel,3174,1832,62.0,4009,2019-01-10
ProLiant Haven,3493,1912,93.1,4844,2019-01-10
Apollo Executive Beach Resort,3471,1630,89.3,4539,2019-01-10
Aruba Lodge,3575,1088,74.5,4161,2019-01-10
Alletra Haven,1277,1204,71.0,3250,2019-01-10
dHCI Platinum Beach Resort,2334,1755,61.2,4075,2019-01-10
GreenLake Platinum Heritage Inn,3310,1614,56.4,4674,2019-01-10
Pointnext Signature Residences & Suites,1966,1549,60.7,3003,2019-01-10
ProLiant Place,2119,1111,83.5,4055,2019-01-10
Synergy Golden Grand Hotel,2142,1071,82.3,3999,2019-01-10
Alletra Resort,1535,1686,94.6,3871,2019-01-10
GreenLake Digital Business Suites,3858,1499,92.4,4833,2019-01-10
Apollo Resort & Spa,1886,1267,53.6,3684,2019-01-10
Nimble Inn,3459,1948,91.0,3355,2019-01-10
Ezmeral Grand Hotel,3075,1075,58.4,3067,2019-01-10
Alletra Boutique Hotel,2610,1042,61.9,4068,2019-01-10
Simplivity Golden Plaza Hotel,2712,1988,61.1,4769,2019-01-10
Cray Villas,1663,1776,91.1,4851,2019-01-10
Apollo Diamond Suites,2192,1018,67.0,3388,2019-01-10
Apollo Towers,2684,1042,53.6,4699,2019-01-10
Alletra Diamond Grand Hotel,1369,1550,74.8,4432,2019-01-11
ProLiant Towers,2719,1622,87.5,4861,2019-01-11
Aruba Luxury Lodge,1964,1210,81.8,3508,2019-01-11
InfoSight Boutique Hotel,2364,1733,89.0,4655,2019-01-11
Primera Grand,1249,1129,87.9,3098,2019-01-11
dHCI Executive Boutique Hotel,3552,1882,92.6,4257,2019-01-11
ProLiant Haven,3779,1452,80.6,4452,2019-01-11
Apollo Executive Beach Resort,3445,1734,61.0,3034,2019-01-11
Aruba Lodge,3692,1265,52.9,4960,2019-01-11
Alletra Haven,2697,1777,61.0,4037,2019-01-11
dHCI Platinum Beach Resort,1790,1642,68.1,4753,2019-01-11
GreenLake Platinum Heritage Inn,2466,1880,91.9,3259,2019-01-11
Pointnext Signature Residences & Suites,1479,1950,51.2,4545,2019-01-11
ProLiant Place,2869,1840,92.9,3019,2019-01-11
Synergy Golden Grand Hotel,1713,1536,65.6,3733,2019-01-11
Alletra Resort,1949,1699,72.6,3258,2019-01-11
GreenLake Digital Business Suites,3707,1409,76.0,4123,2019-01-11
Apollo Resort & Spa,1309,1291,53.4,4016,2019-01-11
Nimble Inn,1563,1648,91.2,4137,2019-01-11
Ezmeral Grand Hotel,3440,1766,65.4,4048,2019-01-11
Alletra Boutique Hotel,3839,1120,92.2,3775,2019-01-11
Simplivity Golden Plaza Hotel,2927,1668,86.9,4452,2019-01-11
Cray Villas,3528,1850,72.3,4616,2019-01-11
Apollo Diamond Suites,3174,1832,85.4,3276,2019-01-11
Apollo Towers,2693,1993,92.2,3914,2019-01-11
Alletra Diamond Grand Hotel,2737,1302,93.4,4688,2019-01-12
ProLiant Towers,2981,1809,66.5,4093,2019-01-12
Aruba Luxury Lodge,3303,1232,81.0,4549,2019-01-12
InfoSight Boutique Hotel,1235,1073,79.3,3264,2019-01-12
Primera Grand,2165,1962,53.2,3793,2019-01-12
dHCI Executive Boutique Hotel,3185,1069,84.8,4795,2019-01-12
ProLiant Haven,3213,1497,81.2,4798,2019-01-12
Apollo Executive Beach Resort,3222,1859,75.7,3710,2019-01-12
Aruba Lodge,1014,1057,89.2,4709,2019-01-12
Alletra Haven,2104,1939,77.7,3038,2019-01-12
dHCI Platinum Beach Resort,3548,1159,93.5,4031,2019-01-12
GreenLake Platinum Heritage Inn,3529,1302,86.4,4408,2019-01-12
Pointnext Signature Residences & Suites,3741,1975,86.4,3901,2019-01-12
ProLiant Place,3432,1041,62.9,4864,2019-01-12
Synergy Golden Grand Hotel,3033,1610,87.9,4649,2019-01-12
Alletra Resort,2641,1088,63.3,4167,2019-01-12
GreenLake Digital Business Suites,3657,1028,91.4,4198,2019-01-12
Apollo Resort & Spa,3645,1753,64.7,4592,2019-01-12
Nimble Inn,2627,1556,67.3,4533,2019-01-12
Ezmeral Grand Hotel,1119,1093,59.4,4226,2019-01-12
Alletra Boutique Hotel,3037,1546,67.1,4906,2019-01-12
Simplivity Golden Plaza Hotel,2794,1480,69.4,3000,2019-01-12
Cray Villas,1128,1629,64.8,4454,2019-01-12
Apollo Diamond Suites,2247,1180,85.4,3672,2019-01-12
Apollo Towers,1162,1769,73.9,3919,2019-01-12
Alletra Diamond Grand Hotel,3522,1067,79.8,3717,2019-01-13
ProLiant Towers,1617,1981,56.8,4667,2019-01-13
Aruba Luxury Lodge,3933,1878,87.1,4303,2019-01-13
InfoSight Boutique Hotel,1924,1803,54.1,4527,2019-01-13
Primera Grand,3535,1851,89.5,4542,2019-01-13
dHCI Executive Boutique Hotel,1146,1238,63.5,3582,2019-01-13
ProLiant Haven,2612,1834,69.5,3904,2019-01-13
Apollo Executive Beach Resort,1654,1112,77.1,3378,2019-01-13
Aruba Lodge,1841,1078,92.7,4100,2019-01-13
Alletra Haven,1997,1821,86.6,3162,2019-01-13
dHCI Platinum Beach Resort,3793,1573,79.4,4801,2019-01-13
GreenLake Platinum Heritage Inn,1936,1116,53.3,3237,2019-01-13
Pointnext Signature Residences & Suites,2566,1559,54.2,4221,2019-01-13
ProLiant Place,1821,1511,64.1,4916,2019-01-13
Synergy Golden Grand Hotel,3253,1612,94.1,4974,2019-01-13
Alletra Resort,2663,1147,66.2,4942,2019-01-13
GreenLake Digital Business Suites,2801,1899,58.6,4801,2019-01-13
Apollo Resort & Spa,3356,1285,66.0,4860,2019-01-13
Nimble Inn,3844,1882,64.4,4012,2019-01-13
Ezmeral Grand Hotel,3099,1231,85.3,3126,2019-01-13
Alletra Boutique Hotel,2135,1949,77.9,3352,2019-01-13
Simplivity Golden Plaza Hotel,3447,1410,72.1,3241,2019-01-13
Cray Villas,1882,1852,81.4,4988,2019-01-13
Apollo Diamond Suites,2117,1879,51.2,3287,2019-01-13
Apollo Towers,2487,1161,76.0,4111,2019-01-13
Alletra Diamond Grand Hotel,1893,1108,90.0,4199,2019-01-14
ProLiant Towers,1390,1784,89.2,3526,2019-01-14
Aruba Luxury Lodge,2140,1785,61.9,4661,2019-01-14
InfoSight Boutique Hotel,2135,1645,86.9,4473,2019-01-14
Primera Grand,1132,1614,70.9,3330,2019-01-14
dHCI Executive Boutique Hotel,1532,1355,88.9,3269,2019-01-14
ProLiant Haven,1058,1611,61.6,4384,2019-01-14
Apollo Executive Beach Resort,1739,1481,77.7,4256,2019-01-14
Aruba Lodge,1036,1627,92.7,4762,2019-01-14
Alletra Haven,3408,1104,70.5,3983,2019-01-14
dHCI Platinum Beach Resort,3288,1458,86.5,3236,2019-01-14
GreenLake Platinum Heritage Inn,2713,1486,63.7,4362,2019-01-14
Pointnext Signature Residences & Suites,2944,1806,87.1,3130,2019-01-14
ProLiant Place,3923,1180,84.6,3297,2019-01-14
Synergy Golden Grand Hotel,1444,1352,75.8,4457,2019-01-14
Alletra Resort,2252,1642,84.7,3388,2019-01-14
GreenLake Digital Business Suites,1202,1872,57.8,4726,2019-01-14
Apollo Resort & Spa,3549,1005,87.7,4052,2019-01-14
Nimble Inn,1057,1900,61.8,3273,2019-01-14
Ezmeral Grand Hotel,1042,1249,70.7,3740,2019-01-14
Alletra Boutique Hotel,2976,1069,65.9,3976,2019-01-14
Simplivity Golden Plaza Hotel,1047,1406,55.7,3884,2019-01-14
Cray Villas,3696,1300,84.8,3527,2019-01-14
Apollo Diamond Suites,2564,1516,57.9,3958,2019-01-14
Apollo Towers,2514,1255,73.1,3861,2019-01-14
Alletra Diamond Grand Hotel,1477,1619,60.9,3778,2019-01-15
ProLiant Towers,1976,1713,84.0,4595,2019-01-15
Aruba Luxury Lodge,3347,1519,59.0,3906,2019-01-15
InfoSight Boutique Hotel,3803,1233,61.4,3440,2019-01-15
Primera Grand,1233,1800,55.3,4720,2019-01-15
dHCI Executive Boutique Hotel,2317,1716,82.0,3158,2019-01-15
ProLiant Haven,1609,1484,89.5,3215,2019-01-15
Apollo Executive Beach Resort,1705,1831,78.1,3962,2019-01-15
Aruba Lodge,3745,1831,71.7,4596,2019-01-15
Alletra Haven,2974,1337,90.2,3630,2019-01-15
dHCI Platinum Beach Resort,2917,1247,81.6,4866,2019-01-15
GreenLake Platinum Heritage Inn,1249,1316,84.3,4306,2019-01-15
Pointnext Signature Residences & Suites,1111,1475,77.8,4565,2019-01-15
ProLiant Place,3500,1105,58.5,4704,2019-01-15
Synergy Golden Grand Hotel,1532,1465,55.4,4451,2019-01-15
Alletra Resort,2766,1717,59.4,4723,2019-01-15
GreenLake Digital Business Suites,1913,1411,80.8,3394,2019-01-15
Apollo Resort & Spa,3005,1511,80.8,4049,2019-01-15
Nimble Inn,1922,1352,70.9,3755,2019-01-15
Ezmeral Grand Hotel,3916,1155,60.5,3348,2019-01-15
Alletra Boutique Hotel,3906,1845,51.2,4925,2019-01-15
Simplivity Golden Plaza Hotel,1446,1272,72.9,3079,2019-01-15
Cray Villas,1696,1128,81.6,4065,2019-01-15
Apollo Diamond Suites,3612,1372,80.9,3994,2019-01-15
Apollo Towers,2507,1563,62.2,3635,2019-01-15
Alletra Diamond Grand Hotel,1679,1729,82.8,4529,2019-01-16
ProLiant Towers,3207,1757,53.5,4589,2019-01-16
Aruba Luxury Lodge,1615,1337,85.5,4091,2019-01-16
InfoSight Boutique Hotel,3574,1701,86.9,4113,2019-01-16
Primera Grand,3318,1351,94.4,4001,2019-01-16
dHCI Executive Boutique Hotel,3841,1708,62.5,4413,2019-01-16
ProLiant Haven,2922,1500,58.3,3183,2019-01-16
Apollo Executive Beach Resort,2146,1917,59.6,4827,2019-01-16
Aruba Lodge,1319,1114,88.6,3620,2019-01-16
Alletra Haven,2221,1986,89.4,4726,2019-01-16
dHCI Platinum Beach Resort,1370,1804,81.0,4732,2019-01-16
GreenLake Platinum Heritage Inn,2962,1816,72.8,3656,2019-01-16
Pointnext Signature Residences & Suites,2240,1187,66.1,4402,2019-01-16
ProLiant Place,3869,1188,71.2,3885,2019-01-16
Synergy Golden Grand Hotel,2656,1702,89.0,4326,2019-01-16
Alletra Resort,3484,1452,76.5,3065,2019-01-16
GreenLake Digital Business Suites,2180,1086,92.3,4475,2019-01-16
Apollo Resort & Spa,3339,1293,73.9,3453,2019-01-16
Nimble Inn,3405,1268,55.7,4968,2019-01-16
Ezmeral Grand Hotel,3648,1993,75.3,3758,2019-01-16
Alletra Boutique Hotel,1487,1402,74.4,4532,2019-01-16
Simplivity Golden Plaza Hotel,1238,1397,61.6,4535,2019-01-16
Cray Villas,1892,1159,51.6,4133,2019-01-16
Apollo Diamond Suites,1326,1178,55.0,3083,2019-01-16
Apollo Towers,1900,1759,80.0,4597,2019-01-16
Alletra Diamond Grand Hotel,2391,1064,89.9,3672,2019-01-17
ProLiant Towers,1125,1728,54.4,3163,2019-01-17
Aruba Luxury Lodge,1840,1801,83.5,3128,2019-01-17
InfoSight Boutique Hotel,2083,1827,90.0,4925,2019-01-17
Primera Grand,3508,1101,79.4,4505,2019-01-17
dHCI Executive Boutique Hotel,2787,1184,60.9,3116,2019-01-17
ProLiant Haven,2012,1163,89.8,4752,2019-01-17
Apollo Executive Beach Resort,2401,1395,75.8,3159,2019-01-17
Aruba Lodge,1716,1951,61.2,4557,2019-01-17
Alletra Haven,3919,1831,78.7,3894,2019-01-17
dHCI Platinum Beach Resort,3970,1120,66.2,3577,2019-01-17
GreenLake Platinum Heritage Inn,1076,1194,66.4,4230,2019-01-17
Pointnext Signature Residences & Suites,2977,1291,63.7,3093,2019-01-17
ProLiant Place,2581,1235,78.6,3272,2019-01-17
Synergy Golden Grand Hotel,3209,1934,80.5,4081,2019-01-17
Alletra Resort,2678,1141,86.3,3189,2019-01-17
GreenLake Digital Business Suites,2171,1094,83.0,4605,2019-01-17
Apollo Resort & Spa,3529,1154,57.7,4291,2019-01-17
Nimble Inn,1594,1896,93.8,4304,2019-01-17
Ezmeral Grand Hotel,2559,1320,70.4,3559,2019-01-17
Alletra Boutique Hotel,3793,1812,82.3,4997,2019-01-17
Simplivity Golden Plaza Hotel,2938,1187,68.4,3906,2019-01-17
Cray Villas,1828,1543,67.5,3485,2019-01-17
Apollo Diamond Suites,2294,1948,88.2,3307,2019-01-17
Apollo Towers,2284,1558,71.4,4286,2019-01-17
Alletra Diamond Grand Hotel,2743,1173,74.2,4329,2019-01-18
ProLiant Towers,1775,1380,64.8,3068,2019-01-18
Aruba Luxury Lodge,3592,1101,92.3,4282,2019-01-18
InfoSight Boutique Hotel,1347,1964,71.7,3026,2019-01-18
Primera Grand,2839,1613,62.3,3433,2019-01-18
dHCI Executive Boutique Hotel,1458,1054,57.4,3903,2019-01-18
ProLiant Haven,2236,1615,87.7,4934,2019-01-18
Apollo Executive Beach Resort,1217,1733,68.5,4042,2019-01-18
Aruba Lodge,2803,1956,54.1,4608,2019-01-18
